ordinal	row_key	old_verdict	manual_verdict	name	dataset	formula	family_explicit	claimed_source_url	retrieved_at	http_status	final_url	content_type	body_sha256	first_pass_evidence_anchor	manual_evidence_anchor	manual_support_reason	manual_correction
248	epinowcast/enw_report_dow	adapted-but-defensible	mismatch	Epinowcast — Report Day-of-Week Effects	hosp_triangle	enw_expectation(~0 + (1|day)) + enw_reference(~1, dist='lognormal') + enw_report(~(1|day_of_week))		https://package.epinowcast.org/articles/epinowcast.html	2026-07-28T21:07:09.855522+00:00	200	https://package.epinowcast.org/articles/epinowcast.html	text/html; charset=utf-8	740bdaf817675c63e0bc01036c739c0c499799331e7099bfd1e134ef20643c33	text_offset=13378; matched_terms=day_of_week,enw_expectation,enw_reference; context_sha256=0d72ecfae1634003	epinowcast quick start: model-module definitions; no claimed enw_report block present	The retrieved cited page does not define the claimed enw_report module, and its expectation/reference modules differ materially from the catalog composition.	Use the modules actually shown by the current quick start, or cite the older page/commit that contained the claimed report module.
249	epinowcast/enw_np_reference	adapted-but-defensible	mismatch	Epinowcast — Non-parametric Hazard Delay Model	hosp_triangle	enw_expectation(~0 + (1|day)) + enw_reference(parametric=~0, non_parametric=~0+delay)		https://package.epinowcast.org/articles/model.html	2026-07-28T21:07:09.896540+00:00	200	https://package.epinowcast.org/articles/model.html	text/html; charset=utf-8	06d122e87b9f208fb9394004e9a08529e800d888abfb4e63d9e4c96ab5106ea9	text_offset=613; matched_terms=delay,epinowcast,model,parametric; context_sha256=8afdfaac62f0be35	model vignette and current getting-started nonparametric reference example	A numeric ~0 + delay term is a linear delay effect, not a separate hazard for every delay as claimed. The cited guidance uses a random walk over delay for the nonparametric reference component.	Use the documented non_parametric formula with rw(delay), plus the page's day-of-week term where applicable.
250	epinowcast/enw_age_reference	adapted-but-defensible	confirmed	Epinowcast — Age-Stratified Hierarchical Delays	hosp_triangle_age	enw_expectation(~0 + (1|day_of_week) + (1|day:.group)) + enw_reference(~1 + (1|age_group)) + enw_report(~(1|day_of_week))		https://package.epinowcast.org/articles/germany-age-stratified-nowcasting.html	2026-07-28T21:07:09.875463+00:00	200	https://package.epinowcast.org/articles/germany-age-stratified-nowcasting.html	text/html; charset=utf-8	45520f1716eda0228889d5d5590674f8a21a272dea2a2649b94cc50f81417cb0	text_offset=81; matched_terms=age,delays,epinowcast,hierarchical,stratified; context_sha256=b65d55bf275b11d5	germany-age-stratified-nowcasting: expectation_module, report_module_dow, and reference_module_age blocks	The cited age-stratified case study explicitly composes the day/day-of-week expectation, report day-of-week effect, and age-group reference effect represented by the catalog.	
251	epinowcast/enw_age_week_reference	adapted-but-defensible	confirmed	Epinowcast — Time-Varying Delay with Weekly Random Walk by Age Group	hosp_triangle_age	enw_expectation(~0 + (1|day_of_week) + (1|day:.group)) + enw_reference(~1 + (1|age_group) + rw(week, by=age_group)) + enw_report(~(1|day_of_week))		https://package.epinowcast.org/articles/germany-age-stratified-nowcasting.html	2026-07-28T21:07:09.875463+00:00	200	https://package.epinowcast.org/articles/germany-age-stratified-nowcasting.html	text/html; charset=utf-8	45520f1716eda0228889d5d5590674f8a21a272dea2a2649b94cc50f81417cb0	text_offset=3490; matched_terms=age_group,day,group,week,weekly; context_sha256=610aba9ae384f22f	germany-age-stratified-nowcasting: reference module containing rw(week, by = age_group)	The source explicitly extends the age reference model with a week random walk varying by age group; the catalog captures the complete module composition.	
252	epinowcast/enw_rt_renewal	adapted-but-defensible	mismatch	Epinowcast — Renewal Process with Rt Estimation	hosp_triangle	enw_expectation(r=~1+rw(week), generation_time=gt_pmf, observation=~1+(1|day_of_week)) + enw_reference(~1, dist='lognormal')		https://package.epinowcast.org/articles/single-timeseries-rt-estimation.html	2026-07-28T21:07:09.917559+00:00	200	https://package.epinowcast.org/articles/single-timeseries-rt-estimation.html	text/html; charset=utf-8	fef2fce245227d9bca65823ed59fe365eb170dcb7af21277c2bf84ffd3772202	text_offset=106; matched_terms=epinowcast,process,with; context_sha256=4dabaca90d90d39e	single-timeseries-rt-estimation: complete enw_expectation call	The cited mechanistic expectation includes a latent reporting-delay component between infections and observed hospitalisations. The catalog omits that required delay while claiming the full renewal model.	Include latent_reporting_delay in enw_expectation together with r, generation_time, and observation, then add the source reference module.
256	rstanarm/womensrole_logit	adapted-but-defensible	adapted-but-defensible	Women's Role Survey — Logistic Regression	womensrole	cbind(agree, disagree) ~ education + sex		https://mc-stan.org/rstanarm/articles/rstanarm.html	2026-07-28T21:07:09.546094+00:00	200	https://mc-stan.org/rstanarm/articles/rstanarm.html	text/html; charset=utf-8	684acb427701858666bfc2d0c0136f45fe9b8116dd6e663c4e53c6797d505527	text_offset=4064; matched_terms=agree,disagree,education,role,survey,women; context_sha256=e9f1a0cbfd365b08	rstanarm overview: womensrole grouped-binomial model block	The source fits the same grouped-binomial education-by-gender model; the catalog renames source gender to the mirror dataset column sex.	Document the gender-to-sex column adapter; otherwise use the source variable name.
257	rstanarm/womensrole_quad	adapted-but-defensible	adapted-but-defensible	Women's Role Survey — Logistic with Quadratic Education	womensrole	cbind(agree, disagree) ~ education + I(education^2) + sex		https://mc-stan.org/rstanarm/articles/rstanarm.html	2026-07-28T21:07:09.546094+00:00	200	https://mc-stan.org/rstanarm/articles/rstanarm.html	text/html; charset=utf-8	684acb427701858666bfc2d0c0136f45fe9b8116dd6e663c4e53c6797d505527	text_offset=4064; matched_terms=agree,disagree,education,role,survey,women; context_sha256=e9f1a0cbfd365b08	rstanarm overview: quadratic womensrole update block	The source update adds the same quadratic education term; only the gender-to-sex dataset-column rename differs.	Document the gender-to-sex adapter for literal provenance.
259	rstanarm/kidiq_iq	adapted-but-defensible	confirmed	Child IQ — Maternal IQ	kidiq	kid_score ~ mom_iq		https://mc-stan.org/rstanarm/articles/continuous.html	2026-07-28T21:07:09.492940+00:00	200	https://mc-stan.org/rstanarm/articles/continuous.html	text/html; charset=utf-8	d7d41e7799ffacab9928f07245a9c166b8f29bd98055dd36364c38532fb30c39	text_offset=6888; matched_terms=kid_score,kidiq,mom_iq; context_sha256=2d357f0134244df5	continuous-model vignette: post2 update to mom_iq	The source update fits kid_score on mom_iq with a Gaussian model, exactly the catalog claim.	
270	rstanarm/gasoline_beta	adapted-but-defensible	mismatch	Gasoline Yield — Beta Regression (Mean Only)	gasoline_yield	yield ~ gravity + pressure + temp10 + batch		https://mc-stan.org/rstanarm/articles/betareg.html	2026-07-28T21:07:09.490464+00:00	200	https://mc-stan.org/rstanarm/articles/betareg.html	text/html; charset=utf-8	09187c56b853cea8a08d6a08143de1b267e82921e8ee20b3f4e2275a45c2c00a	text_offset=9083; matched_terms=batch,gasoline,pressure,yield; context_sha256=a3785a003ef5b7b5	betareg vignette: gasoline mean-model formula	The cited beta-regression example models yield using temp and batch. The catalog omits temp and adds gravity, pressure, and temp10, none of which the cited mean model uses.	Use yield ~ temp + batch for the cited mean model.
271	rstanarm/gasoline_beta_distr	adapted-but-defensible	mismatch	Gasoline Yield — Distributional Beta Regression	gasoline_yield	yield ~ gravity + pressure + temp10 + batch | gravity + pressure		https://mc-stan.org/rstanarm/articles/betareg.html	2026-07-28T21:07:09.490464+00:00	200	https://mc-stan.org/rstanarm/articles/betareg.html	text/html; charset=utf-8	09187c56b853cea8a08d6a08143de1b267e82921e8ee20b3f4e2275a45c2c00a	text_offset=9083; matched_terms=batch,gasoline,pressure,yield; context_sha256=a3785a003ef5b7b5	betareg vignette: distributional gasoline model block	The cited distributional model uses temp + batch for the mean and pressure for precision. The catalog adds unsupported gravity/temp10 terms and changes both submodels.	Use the source mean formula yield ~ temp + batch and precision formula ~ pressure.
274	rstanarm/bball_nopooling	adapted-but-defensible	confirmed	MLB Batting 1970 — No Pooling	bball1970	cbind(Hits, AB - Hits) ~ 0 + Player		https://mc-stan.org/rstanarm/articles/pooling.html	2026-07-28T21:07:09.536226+00:00	200	https://mc-stan.org/rstanarm/articles/pooling.html	text/html; charset=utf-8	4f81fd6bbec4833fbdfe96e57477cc9183e5d14d1823f1e3d05ce7f255f06f58	text_offset=2619; matched_terms=batting,bball1970,hits,player; context_sha256=61f02db1bd365e7f	pooling vignette: bball1970 no-pooling binomial model	The pooling vignette explicitly fits player-specific binomial batting probabilities without a common intercept, matching the catalog no-pooling model.	
300	flocker/single_season_repvarying	adapted-but-defensible	confirmed	Single-Season Occupancy — Multi-Species with Event Covariates	fd_rep_varying	occ: ~ uc1 + (1 + uc1 | species); det: ~ uc1 + ec1 + (1 + uc1 + ec1 | species)		https://jsocolar.github.io/flocker/articles/flocker_tutorial.html	2026-07-28T21:07:09.422927+00:00	200	https://jsocolar.github.io/flocker/articles/flocker_tutorial.html	text/html; charset=utf-8	f743402bfca80aa2382ddc6bd3693a28f65d99f81ec0ad82c5ec9f5671151b1d	text_offset=8; matched_terms=multi,occ,occupancy,season,single,with; context_sha256=82c40cbbd2585ba1	flocker tutorial: rep_varying formula block	The tutorial explicitly gives the same occupancy and detection formulas with species-varying coefficients.	
301	flocker/single_season_repconstant	adapted-but-defensible	confirmed	Single-Season Occupancy — Multi-Species, No Event Covariates	fd_rep_varying	occ: ~ uc1 + (1 + uc1 | species); det: ~ uc1 + (1 + uc1 | species)		https://jsocolar.github.io/flocker/articles/flocker_tutorial.html	2026-07-28T21:07:09.422927+00:00	200	https://jsocolar.github.io/flocker/articles/flocker_tutorial.html	text/html; charset=utf-8	f743402bfca80aa2382ddc6bd3693a28f65d99f81ec0ad82c5ec9f5671151b1d	text_offset=8; matched_terms=multi,occ,occupancy,season,single; context_sha256=82c40cbbd2585ba1	flocker tutorial: rep_constant formula block	The tutorial explicitly gives the same constant-effect occupancy and detection formulas.	
302	flocker/colex_explicit	adapted-but-defensible	confirmed	Colonisation-Extinction — Explicit Initial Occupancy	fd_multi	occ: ~ uc1; det: ~ uc1 + ec1; col: ~ uc1; ex: ~ uc1		https://jsocolar.github.io/flocker/articles/flocker_tutorial.html	2026-07-28T21:07:09.422927+00:00	200	https://jsocolar.github.io/flocker/articles/flocker_tutorial.html	text/html; charset=utf-8	f743402bfca80aa2382ddc6bd3693a28f65d99f81ec0ad82c5ec9f5671151b1d	text_offset=7618; matched_terms=ec1,extinction,uc1; context_sha256=be85c1023b3b2173	flocker tutorial: multi_colex formula block	The tutorial explicitly specifies the same occupancy, detection, colonization, and extinction formulas.	
305	flocker/augmented_multispecies	adapted-but-defensible	confirmed	Data-Augmented Occupancy — Species Richness Estimation	fd_augmented	occ: ~ (1 | ff_species); det: ~ uc1 + ec1 + (1 + uc1 + ec1 | ff_species)		https://jsocolar.github.io/flocker/articles/flocker_tutorial.html	2026-07-28T21:07:09.422927+00:00	200	https://jsocolar.github.io/flocker/articles/flocker_tutorial.html	text/html; charset=utf-8	f743402bfca80aa2382ddc6bd3693a28f65d99f81ec0ad82c5ec9f5671151b1d	text_offset=8; matched_terms=augmented,data,occ,occupancy; context_sha256=82c40cbbd2585ba1	flocker tutorial: augmented multispecies formula block	The tutorial explicitly gives the catalog multispecies augmented formulas.	
307	mvgam/portal_ar_ndvi	adapted-but-defensible	mismatch	Poisson GAM — NDVI Smooth + AR(1) Latent Trend	portal_synth	obs: count ~ 1 | trend: ~ s(ndvi_ma12, k = 6) [AR()]		https://nicholasjclark.github.io/mvgam/articles/mvgam_overview.html	2026-07-28T21:07:09.793350+00:00	200	https://nicholasjclark.github.io/mvgam/articles/mvgam_overview.html	text/html; charset=utf-8	b0b7617d9d0a07e1786a4166f73f1f08e3c82f87c9be1982807d68bb50e78cde	text_offset=213; matched_terms=gam,latent,trend; context_sha256=4505aac0b2fcf8aa	mvgam_overview HTML lines 1440-1465 (model4)	The source puts s(ndvi_ma12, k=6) in the observation formula and adds an AR latent residual. The catalog moves the NDVI smooth into trend_formula and makes the observation formula intercept-only.	Use count ~ s(ndvi_ma12, k = 6) with trend_model = AR() for the cited model.
308	mvgam/portal_shared_trend	adapted-but-defensible	mismatch	Shared Latent Trend — Multi-Series Seasonal AR(1)	portal_synth	"'obs: count ~ series - 1 | trend: ~ s(season, bs = ""cc"", k = 8) [AR()]'"		https://nicholasjclark.github.io/mvgam/articles/shared_states.html	2026-07-28T21:07:09.796581+00:00	200	https://nicholasjclark.github.io/mvgam/articles/shared_states.html	text/html; charset=utf-8	7dc2a5989b77c6ee638afbfd95d3e46c2b4a49d76c92b10f7e757e440fae266f	text_offset=530; matched_terms=latent,series,shared,trend; context_sha256=2e8e48295a839467	shared_states HTML lines 118-184 and 334-350	The source example has three simulated series, maps only the first two to one shared trend, and uses k=6. The catalog claims five species all sharing one trend and changes k to 8.	"Use the page's three-series trend_map and trend_formula ~ s(season, bs=""cc"", k=6), or cite a source for the five-series adaptation."
309	mvgam/plankton_var	adapted-but-defensible	confirmed	Gaussian VAR — Tensor-Product Environmental Smooths	plankton_synth	obs: y ~ -1 | trend: ~ te(temp, month, k = c(4, 4)) + te(temp, month, k = c(4, 4), by = trend) - 1 [VAR(cor = TRUE)]		https://nicholasjclark.github.io/mvgam/articles/trend_formulas.html	2026-07-28T21:07:09.817308+00:00	200	https://nicholasjclark.github.io/mvgam/articles/trend_formulas.html	text/html; charset=utf-8	3e9708296a12f3eb1fb9df12772575500b8c554285aa313baf385bffb6ff081f	text_offset=720; matched_terms=obs,trend,var; context_sha256=fec4bce5c8ff369c	trend_formulas HTML lines 653-667; displayed model lines 484-498	The correlated-VAR section uses the same empty observation formula, shared plus trend-specific temperature-by-month tensor smooths, Gaussian family, and VAR(cor=TRUE). The page's forumla label is a presentation typo; its displayed model confirms the intended formula.	
310	mvgam/salmon_beta_ar	adapted-but-defensible	confirmed	Beta AR(1) — Time-Varying Upwelling Effect on Salmon Survival	salmon_synth	obs: survival ~ 1 | trend: ~ dynamic(CUI.apr, k = 25, scale = FALSE) - 1 [AR()]		https://nicholasjclark.github.io/mvgam/articles/time_varying_effects.html	2026-07-28T21:07:09.815158+00:00	200	https://nicholasjclark.github.io/mvgam/articles/time_varying_effects.html	text/html; charset=utf-8	63fc3eb4b911de31533e6b4fede016e2191ce456e09eda98a23dd2cc32ad3d19	text_offset=9409; matched_terms=apr,cui,salmon,survival,upwelling; context_sha256=60b5d3572c5f83e5	time_varying_effects HTML lines 514-531 and 536-549	The source model exactly combines survival ~ 1, dynamic(CUI.apr, k=25, scale=FALSE)-1, AR(), and a beta observation family.	
311	mvgam/nmix_detection	adapted-but-defensible	confirmed	N-Mixture — Smooth Detection and Abundance Sub-Models	nmix_synth	"'obs: y ~ s(det_cov, k = 4) + s(det_cov2, k = 4) | trend: ~ s(abund_cov, k = 4) + s(abund_fac, bs = ""re"") [nmix()]'"		https://nicholasjclark.github.io/mvgam/articles/nmixtures.html	2026-07-28T21:07:09.794041+00:00	200	https://nicholasjclark.github.io/mvgam/articles/nmixtures.html	text/html; charset=utf-8	761e3c6197d7083c51c85c0e9b77c2af5ce2746c03b0bae9fec9d8c6f2891e81	text_offset=370; matched_terms=abundance,and,detection,mixture,models,nmix,obs; context_sha256=7d04bfd1c5e84efa	nmixtures: fitted model call containing det_cov, det_cov2, abund_cov, and abund_fac	The source N-mixture call exactly matches the two smooth detection effects and the smooth plus random-effect abundance submodel.	
321	mixed_models_jl/sleepstudy_slope	adapted-but-defensible	adapted-but-defensible	Sleep Deprivation — Correlated Random Slopes	sleepstudy	Reaction ~ 1 + Days + (1 + Days | Subject)	gaussian	https://juliastats.org/MixedModels.jl/stable/constructors/	2026-07-28T21:07:09.466472+00:00	200	https://juliastats.org/MixedModels.jl/stable/constructors/	text/html; charset=utf-8	0f6390175fa9f0133ae9150f500ce5bdd3ee2e101849b0c5578fc10cbee8284e	text_offset=9318; matched_terms=days,deprivation,reaction,sleep,sleepstudy,slopes,subject; context_sha256=1a3843f3c5a56629	MixedModels constructors: @formula(reaction ~ 1 + days + (1 + days | subj))	The source fits the same correlated subject intercept/slope model using lowercase MixedModelsDatasets columns; the catalog uses the uppercase names from its cited RDatasets mirror.	Record reaction/days/subj to Reaction/Days/Subject as a dataset adapter.
322	mixed_models_jl/sleepstudy_zerocorr	adapted-but-defensible	adapted-but-defensible	Sleep Deprivation — Uncorrelated Random Slopes (zerocorr)	sleepstudy	Reaction ~ 1 + Days + zerocorr(1 + Days | Subject)	gaussian	https://juliastats.org/MixedModels.jl/stable/constructors/	2026-07-28T21:07:09.466472+00:00	200	https://juliastats.org/MixedModels.jl/stable/constructors/	text/html; charset=utf-8	0f6390175fa9f0133ae9150f500ce5bdd3ee2e101849b0c5578fc10cbee8284e	text_offset=9318; matched_terms=days,deprivation,reaction,sleep,sleepstudy,slopes,subject; context_sha256=1a3843f3c5a56629	MixedModels constructors: zerocorr sleepstudy formula block	The source fits the same zero-correlation subject intercept/slope model; differences are only the lowercase package columns versus uppercase mirror columns.	Record reaction/days/subj to Reaction/Days/Subject as a dataset adapter.
325	mixed_models_jl/verbagg_crossed	adapted-but-defensible	mismatch	Verbal Aggression — Bernoulli GLMM, Crossed Random Effects	verbagg	r2 ~ 1 + Anger + Gender + btype + situ + (1 | id) + (1 | item)	bernoulli	https://juliastats.org/MixedModels.jl/stable/constructors/	2026-07-28T21:07:09.466472+00:00	200	https://juliastats.org/MixedModels.jl/stable/constructors/	text/html; charset=utf-8	0f6390175fa9f0133ae9150f500ce5bdd3ee2e101849b0c5578fc10cbee8284e	text_offset=28977; matched_terms=anger,btype,gender,glmm,item,situ,verbagg; context_sha256=439e4bacca068de5	MixedModels constructors: verbaggform definition	The cited constructor includes mode as a fixed effect in addition to anger, gender, btype, and situ. The catalog silently drops mode.	Add mode to the fixed effects; id is a defensible mirror-column rename of source subj.
326	mixed_models_jl/contraception_glmm	adapted-but-defensible	adapted-but-defensible	Contraception — Bernoulli GLMM with Polynomial Age	contraception	use ~ 1 + age + abs2(age) + livch + urban + (1 | district)	bernoulli	https://juliastats.org/MixedModels.jl/stable/constructors/	2026-07-28T21:07:09.466472+00:00	200	https://juliastats.org/MixedModels.jl/stable/constructors/	text/html; charset=utf-8	0f6390175fa9f0133ae9150f500ce5bdd3ee2e101849b0c5578fc10cbee8284e	text_offset=32755; matched_terms=abs2,contraception,livch,urban; context_sha256=87d0ffe0dbab7171	MixedModels constructors: contraform definition	The catalog matches the source Bernoulli formula after renaming the source grouping column dist to the RDatasets mirror column district.	Document dist-to-district as a dataset adapter.
328	inla/penicillin_iid	adapted-but-defensible	mismatch	Penicillin — Gaussian GLMM with IID Random Intercept	penicillin	diameter ~ 1 + sample + f(plate_id, model = 'iid')		https://becarioprecario.bitbucket.io/inla-gitbook/ch-multilevel.html	2026-07-28T21:07:08.641594+00:00	200	https://becarioprecario.bitbucket.io/inla-gitbook/ch-multilevel.html	text/html	092a00599dd5202917f56382661fa06c92d1def7d7384e8626de66a37c8642cd	text_offset=1242; matched_terms=iid,random; context_sha256=7b88e92ad01fb98b	ch-multilevel HTML lines 462-554	The cited chapter analyzes the faraway penicillin data as yield ~ treat + iid(blend). The catalog instead uses the distinct lme4 Penicillin assay data with diameter, sample, and plate.	"Use yield ~ 1 + treat + f(blend, model=""iid"") for this citation, or cite a source for the lme4 Penicillin adaptation."
