ordinal	row_key	catalog_source	catalog_key	deployed	name	example	dataset	formula	family_explicit	family_description_claim	claimed_source_url	dataset_source_urls	source_file	hidden_claim	verified_claim	deployed_renderer_family_claim	deployed_family_provenance	retrieved_at	http_status	curl_exit	final_url	content_type	citation_authority_class	data_only_citation	formula_exact_observed	formula_terms_observed	formula_terms_missing	formula_support	family_support	dataset_support	semantic_support_verdict	semantic_support_reason	correction_with_evidence	evidence_anchor	body_sha256
11	bambi/radon_county_pred	bambi	radon_county_pred	true	Radon — County-Level Uranium Predictor	radon	radon	log_radon ~ floor + log_u + (1|county)		gaussian	https://bambinos.github.io/bambi/notebooks/radon_example.html	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.610088+00:00	200	0	https://bambinos.github.io/bambi/notebooks/radon_example.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	false	log_radon,floor,log_u,county		partial_semantic_terms:4/4	explicit_token_present	name_or_key_present	adapted-but-defensible	The source contains the model's distinctive response/predictor terms but not the exact catalog formula; the catalog expression is an adaptation.		text_offset=4733; matched_terms=log_radon,log_u,uranium; context_sha256=a17613a9646ec98d	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f
12	bambi/strack_rrr_simple	bambi	strack_rrr_simple	true	Strack RRR — Simple Random Effects	strack_rrr	strack_rrr	value ~ condition + (1|uid)		gaussian	https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	https://github.com/bambinos/bambi	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.539671+00:00	200	0	https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	value,condition,uid		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=19; matched_terms=effects,random,rrr,strack; context_sha256=50939f31cfe51883	5f00a46661437bc2c863ee3f93eefa739def1e7b8b5bf91a145b7082b3aa61ed
13	bambi/strack_rrr_full	bambi	strack_rrr_full	true	Strack RRR — Full Crossed Random Effects	strack_rrr	strack_rrr	value ~ condition + age + gender + (1|uid) + (condition|study) + (condition|stimulus)		gaussian	https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	https://github.com/bambinos/bambi	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.539671+00:00	200	0	https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	value,condition,age,gender,uid,study,stimulus		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=382; matched_terms=effects,random,rrr,strack,study; context_sha256=d386e40b775e9b1f	5f00a46661437bc2c863ee3f93eefa739def1e7b8b5bf91a145b7082b3aa61ed
14	bambi/shooter_rate_simple	bambi	shooter_rate_simple	true	Shooter Task — Rate (No Target Effect)	shooter	shooter	rate ~ S(race) * S(object) + (S(race) * S(object) | subject)		gaussian	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.610539+00:00	200	0	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	rate,race,object,subject		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=2232; matched_terms=object,rate,shooter,subject,target,task; context_sha256=86af394f5bbb0f20	446a4d28141a9e801d04dd212140c443fa160e5f80c19d2a51ee3f48b77c3252
15	bambi/shooter_rate_target	bambi	shooter_rate_target	true	Shooter Task — Rate (With Target Effect)	shooter	shooter	rate ~ S(race) * S(object) + (S(race) * S(object) | subject) + (S(object) | target)		gaussian	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.610539+00:00	200	0	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	rate,race,object,subject,target		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=2232; matched_terms=object,rate,shooter,subject,target,task; context_sha256=86af394f5bbb0f20	446a4d28141a9e801d04dd212140c443fa160e5f80c19d2a51ee3f48b77c3252
16	bambi/shooter_binary	bambi	shooter_binary	true	Shooter Task — Binary Shoot Decision	shooter	shooter	shoot_or_not[shoot] ~ S(race)*S(object) + (S(race)*S(object) | subject) + (S(object) | target)		bernoulli	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.610539+00:00	200	0	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	shoot_or_not,shoot,race,object,subject,target		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=2232; matched_terms=object,shoot,shooter,subject,target,task; context_sha256=8202f0c340178976	446a4d28141a9e801d04dd212140c443fa160e5f80c19d2a51ee3f48b77c3252
17	bambi/fixed_random_naive	bambi	fixed_random_naive	true	Fixed/Random Effects — Naive Model	fixed_random	fixed_random	y ~ x + z		bernoulli	https://bambinos.github.io/bambi/notebooks/fixed_random.html	synthetic	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.553523+00:00	200	0	https://bambinos.github.io/bambi/notebooks/fixed_random.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	false			insufficient_terms:0/0	explicit_token_present	name_or_key_present	unverifiable	Retrieved source does not expose enough formula-specific evidence to confirm or refute the catalog claim conservatively.		text_offset=0; matched_terms=effects,fixed,model,random; context_sha256=3ee34c860228943a	d4bce0eae68bcb51665e67733fcd6b6842aa9790cbae90236b42613b2ee4e49e
18	bambi/fixed_random_fe	bambi	fixed_random_fe	true	Fixed/Random Effects — Fixed Effects Model	fixed_random	fixed_random	y ~ 0 + C(group) + x + z		bernoulli	https://bambinos.github.io/bambi/notebooks/fixed_random.html	synthetic	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.553523+00:00	200	0	https://bambinos.github.io/bambi/notebooks/fixed_random.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	group		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=617; matched_terms=effects,fixed,group,model,random; context_sha256=487827b296c417c8	d4bce0eae68bcb51665e67733fcd6b6842aa9790cbae90236b42613b2ee4e49e
19	bambi/fixed_random_re	bambi	fixed_random_re	true	Fixed/Random Effects — Random Effects Model	fixed_random	fixed_random	y ~ x + z + (1|group)		bernoulli	https://bambinos.github.io/bambi/notebooks/fixed_random.html	synthetic	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.553523+00:00	200	0	https://bambinos.github.io/bambi/notebooks/fixed_random.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	group		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=617; matched_terms=effects,fixed,group,model,random; context_sha256=487827b296c417c8	d4bce0eae68bcb51665e67733fcd6b6842aa9790cbae90236b42613b2ee4e49e
20	bambi/fixed_random_mundlak	bambi	fixed_random_mundlak	true	Fixed/Random Effects — Mundlak Machine	fixed_random	fixed_random	y ~ x + z + xbar + (1|group)		bernoulli	https://bambinos.github.io/bambi/notebooks/fixed_random.html	synthetic	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.553523+00:00	200	0	https://bambinos.github.io/bambi/notebooks/fixed_random.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	xbar,group		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=617; matched_terms=effects,fixed,group,mundlak,random; context_sha256=487827b296c417c8	d4bce0eae68bcb51665e67733fcd6b6842aa9790cbae90236b42613b2ee4e49e
21	bambi/t_regression_gaussian	bambi	t_regression_gaussian	true	Robust Regression — Gaussian Family	t_regression	t_regression	y ~ x		gaussian	https://bambinos.github.io/bambi/notebooks/t_regression.html	synthetic	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.615046+00:00	200	0	https://bambinos.github.io/bambi/notebooks/t_regression.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	false			insufficient_terms:0/0	explicit_token_present	name_or_key_present	unverifiable	Retrieved source does not expose enough formula-specific evidence to confirm or refute the catalog claim conservatively.		text_offset=0; matched_terms=regression,robust; context_sha256=9d343ef506cff257	c314d1505674bdaa1c461cf48d0c3d38237511b38efee0442992e21c6203afa0
22	bambi/t_regression_t	bambi	t_regression_t	true	Robust Regression — Student's t Family	t_regression	t_regression	y ~ x		t	https://bambinos.github.io/bambi/notebooks/t_regression.html	synthetic	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.615046+00:00	200	0	https://bambinos.github.io/bambi/notebooks/t_regression.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	false			insufficient_terms:0/0	not_observed	name_or_key_present	unverifiable	Retrieved source does not expose enough formula-specific evidence to confirm or refute the catalog claim conservatively.		text_offset=0; matched_terms=regression,robust; context_sha256=9d343ef506cff257	c314d1505674bdaa1c461cf48d0c3d38237511b38efee0442992e21c6203afa0
23	bambi/predict_new_groups	bambi	predict_new_groups	true	Predict New Groups	predict_new_groups	predict_new_groups	fvc ~ 0 + weeks + smoking_status + (0 + weeks | patient)		gaussian	https://bambinos.github.io/bambi/notebooks/predict_new_groups.html	https://gist.githubusercontent.com/ucals/2cf9d101992cb1b78c2cdd6e3bac6a4b/raw/43034c39052dcf97d4b894d2ec1bc3f90f3623d9/osic_pulmonary_fibrosis.csv	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.609232+00:00	200	0	https://bambinos.github.io/bambi/notebooks/predict_new_groups.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	fvc,weeks,smoking_status,patient		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=6432; matched_terms=fvc,smoking_status,weeks; context_sha256=a21d2400efbf8a43	6627763b6c73d1d67ff1ff2e0d1cbe219195cefaf149d03f039644b093c7245f
24	bambi/poly_falling_explicit	bambi	poly_falling_explicit	true	Polynomial Regression — Falling Ball (Explicit)	polynomial_regression	poly_falling	x ~ I(t**2) + 1		gaussian	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	synthetic	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.608650+00:00	200	0	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	false			insufficient_terms:0/0	explicit_token_present	name_or_key_present	unverifiable	Retrieved source does not expose enough formula-specific evidence to confirm or refute the catalog claim conservatively.		text_offset=0; matched_terms=polynomial,regression; context_sha256=19512a2ece7abe5b	59daf510ec50cbdcfafd6ce16b7f88c8854dd27b3b572930d1ff6202f033b438
25	bambi/poly_falling_alt	bambi	poly_falling_alt	true	Polynomial Regression — Falling Ball (Curly-Brace Syntax)	polynomial_regression	poly_falling	x ~ {t**2} + 1		gaussian	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	synthetic	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.608650+00:00	200	0	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	false			insufficient_terms:0/0	explicit_token_present	name_or_key_present	unverifiable	Retrieved source does not expose enough formula-specific evidence to confirm or refute the catalog claim conservatively.		text_offset=0; matched_terms=polynomial,regression; context_sha256=19512a2ece7abe5b	59daf510ec50cbdcfafd6ce16b7f88c8854dd27b3b572930d1ff6202f033b438
26	bambi/poly_falling_precomp	bambi	poly_falling_precomp	true	Polynomial Regression — Falling Ball (Pre-Computed Column)	polynomial_regression	poly_falling	x ~ tsquared + 1		gaussian	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	synthetic	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.608650+00:00	200	0	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	tsquared		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=5355; matched_terms=column,tsquared; context_sha256=c8b5109512c81c87	59daf510ec50cbdcfafd6ce16b7f88c8854dd27b3b572930d1ff6202f033b438
27	bambi/poly_projectile_power	bambi	poly_projectile_power	true	Polynomial Regression — Projectile (Power Basis)	polynomial_regression	poly_projectile	x ~ I(t**2) + t + 1		gaussian	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	synthetic	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.608650+00:00	200	0	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	false			insufficient_terms:0/0	explicit_token_present	name_or_key_present	unverifiable	Retrieved source does not expose enough formula-specific evidence to confirm or refute the catalog claim conservatively.		text_offset=0; matched_terms=polynomial,regression; context_sha256=19512a2ece7abe5b	59daf510ec50cbdcfafd6ce16b7f88c8854dd27b3b572930d1ff6202f033b438
28	bambi/poly_projectile_poly	bambi	poly_projectile_poly	true	Polynomial Regression — Projectile (poly() Syntax)	polynomial_regression	poly_projectile	x ~ poly(t, 2, raw=True)		gaussian	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	synthetic	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.608650+00:00	200	0	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	raw		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=4828; matched_terms=raw,syntax; context_sha256=ed1f8f53d496f70d	59daf510ec50cbdcfafd6ce16b7f88c8854dd27b3b572930d1ff6202f033b438
29	bambi/poly_planets	bambi	poly_planets	true	Polynomial Regression — Multi-Planet	polynomial_regression	poly_planets	Height ~ I(Time**2):Planet + Time + 0		gaussian	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	synthetic	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.608650+00:00	200	0	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	height,time,planet		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=1297; matched_terms=planet,time; context_sha256=613b03594a8d7387	59daf510ec50cbdcfafd6ce16b7f88c8854dd27b3b572930d1ff6202f033b438
30	bambi/logistic_anes	bambi	logistic_anes	true	Logistic Regression — Vote Intention	logistic_anes	logistic_anes	vote['clinton'] ~ party_id + party_id:age		bernoulli	https://bambinos.github.io/bambi/notebooks/logistic_regression.html	https://ndownloader.figshare.com/files/28870740	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.565065+00:00	200	0	https://bambinos.github.io/bambi/notebooks/logistic_regression.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	vote,clinton,party_id,age		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=21; matched_terms=intention,logistic,regression,vote; context_sha256=fff96ffd6135f775	2a382b45531c2e5392c7262c8c7644c7d7db7d19977420b9095f6cbeb61179be
31	bambi/model_comparison_linear	bambi	model_comparison_linear	true	Model Comparison — Linear	model_comparison	model_comparison	income['>50K'] ~ sex + race + scale(age) + scale(hs_week)		bernoulli	https://bambinos.github.io/bambi/notebooks/model_comparison.html	https://ndownloader.figshare.com/files/28870743	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.569578+00:00	200	0	https://bambinos.github.io/bambi/notebooks/model_comparison.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	income,sex,race,scale,age,hs_week		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=2890; matched_terms=hs_week,income,race,sex; context_sha256=6f402e9a5e8074fa	811f3df2ca426eda2e619b1ef27c8183d040b92ada5535df2a4ec174661956a7
32	bambi/model_comparison_quad	bambi	model_comparison_quad	true	Model Comparison — Quadratic	model_comparison	model_comparison	income['>50K'] ~ sex + race + scale(age) + I(scale(age)**2) + scale(hs_week) + I(scale(hs_week)**2)		bernoulli	https://bambinos.github.io/bambi/notebooks/model_comparison.html	https://ndownloader.figshare.com/files/28870743	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.569578+00:00	200	0	https://bambinos.github.io/bambi/notebooks/model_comparison.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	income,sex,race,scale,age,hs_week		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=2890; matched_terms=hs_week,income,race,sex; context_sha256=6f402e9a5e8074fa	811f3df2ca426eda2e619b1ef27c8183d040b92ada5535df2a4ec174661956a7
33	bambi/model_comparison_cubic	bambi	model_comparison_cubic	true	Model Comparison — Cubic	model_comparison	model_comparison	income['>50K'] ~ sex + race + scale(age) + I(scale(age)**2) + I(scale(age)**3) + scale(hs_week) + I(scale(hs_week)**2) + I(scale(hs_week)**3)		bernoulli	https://bambinos.github.io/bambi/notebooks/model_comparison.html	https://ndownloader.figshare.com/files/28870743	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.569578+00:00	200	0	https://bambinos.github.io/bambi/notebooks/model_comparison.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	false	income,sex,race,scale,age,hs_week		partial_semantic_terms:6/6	explicit_token_present	name_or_key_present	adapted-but-defensible	The source contains the model's distinctive response/predictor terms but not the exact catalog formula; the catalog expression is an adaptation.		text_offset=2890; matched_terms=hs_week,income,race,sex; context_sha256=6f402e9a5e8074fa	811f3df2ca426eda2e619b1ef27c8183d040b92ada5535df2a4ec174661956a7
