ordinal	row_key	catalog_source	catalog_key	deployed	name	example	dataset	formula	family_explicit	family_description_claim	claimed_source_url	dataset_source_urls	source_file	hidden_claim	verified_claim	description
11	bambi/radon_county_pred	bambi	radon_county_pred	true	Radon — County-Level Uranium Predictor	radon	radon	log_radon ~ floor + log_u + (1|county)		gaussian	https://bambinos.github.io/bambi/notebooks/radon_example.html	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	bambi.jl			Partial pooling with floor and county-level uranium predictor (log_u). Family: gaussian.
12	bambi/strack_rrr_simple	bambi	strack_rrr_simple	true	Strack RRR — Simple Random Effects	strack_rrr	strack_rrr	value ~ condition + (1|uid)		gaussian	https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	https://github.com/bambinos/bambi	bambi.jl			Simple model with condition as fixed effect and random participant intercepts. Family: gaussian.
13	bambi/strack_rrr_full	bambi	strack_rrr_full	true	Strack RRR — Full Crossed Random Effects	strack_rrr	strack_rrr	value ~ condition + age + gender + (1|uid) + (condition|study) + (condition|stimulus)		gaussian	https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	https://github.com/bambinos/bambi	bambi.jl			Full model with condition, age, gender, random participant intercepts, and crossed random effects for study and stimulus. Family: gaussian.
14	bambi/shooter_rate_simple	bambi	shooter_rate_simple	true	Shooter Task — Rate (No Target Effect)	shooter	shooter	rate ~ S(race) * S(object) + (S(race) * S(object) | subject)		gaussian	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	bambi.jl			Reaction rate modeled by race × object interaction with crossed random effects per subject, without target random effects. Family: gaussian.
15	bambi/shooter_rate_target	bambi	shooter_rate_target	true	Shooter Task — Rate (With Target Effect)	shooter	shooter	rate ~ S(race) * S(object) + (S(race) * S(object) | subject) + (S(object) | target)		gaussian	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	bambi.jl			Reaction rate modeled by race × object interaction with crossed random effects for both subject and target. Family: gaussian.
16	bambi/shooter_binary	bambi	shooter_binary	true	Shooter Task — Binary Shoot Decision	shooter	shooter	shoot_or_not[shoot] ~ S(race)*S(object) + (S(race)*S(object) | subject) + (S(object) | target)		bernoulli	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	bambi.jl			Binary shoot/don't-shoot decision modeled by race × object interaction with crossed random effects for subject and target. Family: bernoulli.
17	bambi/fixed_random_naive	bambi	fixed_random_naive	true	Fixed/Random Effects — Naive Model	fixed_random	fixed_random	y ~ x + z		bernoulli	https://bambinos.github.io/bambi/notebooks/fixed_random.html	synthetic	bambi.jl			Naive logistic regression ignoring group structure entirely. Family: bernoulli.
18	bambi/fixed_random_fe	bambi	fixed_random_fe	true	Fixed/Random Effects — Fixed Effects Model	fixed_random	fixed_random	y ~ 0 + C(group) + x + z		bernoulli	https://bambinos.github.io/bambi/notebooks/fixed_random.html	synthetic	bambi.jl			Fixed effects logistic regression with a dummy indicator per group. Family: bernoulli.
19	bambi/fixed_random_re	bambi	fixed_random_re	true	Fixed/Random Effects — Random Effects Model	fixed_random	fixed_random	y ~ x + z + (1|group)		bernoulli	https://bambinos.github.io/bambi/notebooks/fixed_random.html	synthetic	bambi.jl			Multilevel logistic regression with random group intercepts. Family: bernoulli.
20	bambi/fixed_random_mundlak	bambi	fixed_random_mundlak	true	Fixed/Random Effects — Mundlak Machine	fixed_random	fixed_random	y ~ x + z + xbar + (1|group)		bernoulli	https://bambinos.github.io/bambi/notebooks/fixed_random.html	synthetic	bambi.jl			Mundlak machine: random intercepts plus group-mean of x to separate within/between effects. Family: bernoulli.
21	bambi/t_regression_gaussian	bambi	t_regression_gaussian	true	Robust Regression — Gaussian Family	t_regression	t_regression	y ~ x		gaussian	https://bambinos.github.io/bambi/notebooks/t_regression.html	synthetic	bambi.jl			Standard linear regression on data with outliers; used as baseline. Family: gaussian.
22	bambi/t_regression_t	bambi	t_regression_t	true	Robust Regression — Student's t Family	t_regression	t_regression	y ~ x		t	https://bambinos.github.io/bambi/notebooks/t_regression.html	synthetic	bambi.jl			Robust linear regression using Student's t family, which down-weights outliers. Family: t.
23	bambi/predict_new_groups	bambi	predict_new_groups	true	Predict New Groups	predict_new_groups	predict_new_groups	fvc ~ 0 + weeks + smoking_status + (0 + weeks | patient)		gaussian	https://bambinos.github.io/bambi/notebooks/predict_new_groups.html	https://gist.githubusercontent.com/ucals/2cf9d101992cb1b78c2cdd6e3bac6a4b/raw/43034c39052dcf97d4b894d2ec1bc3f90f3623d9/osic_pulmonary_fibrosis.csv	bambi.jl			Mixed-effects model predicting FVC with random slopes per patient; demonstrates out-of-sample prediction for new groups. Family: gaussian.
24	bambi/poly_falling_explicit	bambi	poly_falling_explicit	true	Polynomial Regression — Falling Ball (Explicit)	polynomial_regression	poly_falling	x ~ I(t**2) + 1		gaussian	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	synthetic	bambi.jl			Polynomial regression using inline transformation `I(t**2)` to recover gravitational constant from falling ball data. Family: gaussian.
25	bambi/poly_falling_alt	bambi	poly_falling_alt	true	Polynomial Regression — Falling Ball (Curly-Brace Syntax)	polynomial_regression	poly_falling	x ~ {t**2} + 1		gaussian	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	synthetic	bambi.jl			Same as :poly_falling_explicit but using Bambi's alternative curly-brace inline transformation syntax. Family: gaussian.
26	bambi/poly_falling_precomp	bambi	poly_falling_precomp	true	Polynomial Regression — Falling Ball (Pre-Computed Column)	polynomial_regression	poly_falling	x ~ tsquared + 1		gaussian	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	synthetic	bambi.jl			Polynomial regression using a pre-computed `tsquared` column rather than inline transformation. Family: gaussian.
27	bambi/poly_projectile_power	bambi	poly_projectile_power	true	Polynomial Regression — Projectile (Power Basis)	polynomial_regression	poly_projectile	x ~ I(t**2) + t + 1		gaussian	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	synthetic	bambi.jl			Explicit quadratic polynomial regression on projectile data with both linear and quadratic terms. Family: gaussian.
28	bambi/poly_projectile_poly	bambi	poly_projectile_poly	true	Polynomial Regression — Projectile (poly() Syntax)	polynomial_regression	poly_projectile	x ~ poly(t, 2, raw=True)		gaussian	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	synthetic	bambi.jl			Quadratic polynomial regression using Bambi's `poly()` function with raw (non-orthogonal) polynomials. Family: gaussian.
29	bambi/poly_planets	bambi	poly_planets	true	Polynomial Regression — Multi-Planet	polynomial_regression	poly_planets	Height ~ I(Time**2):Planet + Time + 0		gaussian	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	synthetic	bambi.jl			Planet-specific quadratic coefficient interacted with `Planet` to recover different gravitational constants per planet. Family: gaussian.
30	bambi/logistic_anes	bambi	logistic_anes	true	Logistic Regression — Vote Intention	logistic_anes	logistic_anes	vote['clinton'] ~ party_id + party_id:age		bernoulli	https://bambinos.github.io/bambi/notebooks/logistic_regression.html	https://ndownloader.figshare.com/files/28870740	bambi.jl			Logistic regression of Clinton vote on party ID and party-age interaction. Family: bernoulli.
31	bambi/model_comparison_linear	bambi	model_comparison_linear	true	Model Comparison — Linear	model_comparison	model_comparison	income['>50K'] ~ sex + race + scale(age) + scale(hs_week)		bernoulli	https://bambinos.github.io/bambi/notebooks/model_comparison.html	https://ndownloader.figshare.com/files/28870743	bambi.jl			Linear logistic regression of income on sex, race, age, and weekly hours worked. Family: bernoulli.
32	bambi/model_comparison_quad	bambi	model_comparison_quad	true	Model Comparison — Quadratic	model_comparison	model_comparison	income['>50K'] ~ sex + race + scale(age) + I(scale(age)**2) + scale(hs_week) + I(scale(hs_week)**2)		bernoulli	https://bambinos.github.io/bambi/notebooks/model_comparison.html	https://ndownloader.figshare.com/files/28870743	bambi.jl			Quadratic logistic regression adding squared age and hours terms. Family: bernoulli.
33	bambi/model_comparison_cubic	bambi	model_comparison_cubic	true	Model Comparison — Cubic	model_comparison	model_comparison	income['>50K'] ~ sex + race + scale(age) + I(scale(age)**2) + I(scale(age)**3) + scale(hs_week) + I(scale(hs_week)**2) + I(scale(hs_week)**3)		bernoulli	https://bambinos.github.io/bambi/notebooks/model_comparison.html	https://ndownloader.figshare.com/files/28870743	bambi.jl			Cubic logistic regression adding cubic age and hours terms. Family: bernoulli.
34	bambi/hierarchical_binomial_nopooling	bambi	hierarchical_binomial_nopooling	true	Hierarchical Binomial — No Pooling	hierarchical_binomial	hierarchical_binomial	p(H, AB) ~ 0 + playerID		binomial	https://bambinos.github.io/bambi/notebooks/hierarchical_binomial_bambi.html	https://ndownloader.figshare.com/files/29749140	bambi.jl			Non-hierarchical binomial model: separate intercept per player. Family: binomial.
35	bambi/hierarchical_binomial_partial	bambi	hierarchical_binomial_partial	true	Hierarchical Binomial — Partial Pooling	hierarchical_binomial	hierarchical_binomial	p(H, AB) ~ 1 + (1|playerID)		binomial	https://bambinos.github.io/bambi/notebooks/hierarchical_binomial_bambi.html	https://ndownloader.figshare.com/files/29749140	bambi.jl			Hierarchical binomial model with random player intercepts. Family: binomial.
36	bambi/alternative_links_logit	bambi	alternative_links_logit	true	Alternative Links — Logit	alternative_links	alternative_links	p(y, n) ~ x		"binomial, link=""logit"""	https://bambinos.github.io/bambi/notebooks/alternative_links_binary.html	synthetic	bambi.jl			"Binomial regression with logit link (default). Family: binomial, link=""logit""."
37	bambi/alternative_links_probit	bambi	alternative_links_probit	true	Alternative Links — Probit	alternative_links	alternative_links	p(y, n) ~ x		"binomial, link=""probit"""	https://bambinos.github.io/bambi/notebooks/alternative_links_binary.html	synthetic	bambi.jl			"Binomial regression with probit link. Family: binomial, link=""probit""."
38	bambi/alternative_links_cloglog	bambi	alternative_links_cloglog	true	Alternative Links — Complementary Log-Log	alternative_links	alternative_links	p(y, n) ~ x		"binomial, link=""cloglog"""	https://bambinos.github.io/bambi/notebooks/alternative_links_binary.html	synthetic	bambi.jl			"Binomial regression with complementary log-log link. Family: binomial, link=""cloglog""."
39	bambi/wald_gamma_wald	bambi	wald_gamma_wald	true	Wald Regression — Insurance Claims (Wald Family)	wald_gamma	wald_gamma	claimcst0 ~ C(agecat) + gender + area		"wald, link=""log"""	https://bambinos.github.io/bambi/notebooks/wald_gamma_glm.html	https://ndownloader.figshare.com/files/28870713	bambi.jl			"Wald (inverse Gaussian) regression of claim costs on age category (as categorical), gender and area. Family: wald, link=""log""."
40	bambi/wald_gamma_gamma	bambi	wald_gamma_gamma	true	Gamma Regression — Insurance Claims (Gamma Family)	wald_gamma	wald_gamma	claimcst0 ~ agecat + gender + area		"gamma, link=""log"""	https://bambinos.github.io/bambi/notebooks/wald_gamma_glm.html	https://ndownloader.figshare.com/files/28870713	bambi.jl			"Gamma regression of claim costs on age category (numeric), gender and area. Family: gamma, link=""log""."
41	bambi/negative_binomial_main	bambi	negative_binomial_main	true	Negative Binomial — Main Effects	negative_binomial	negative_binomial	daysabs ~ 0 + prog + scale(math)		negativebinomial	https://bambinos.github.io/bambi/notebooks/negative_binomial.html	https://stats.idre.ucla.edu/stat/stata/dae/nb_data.dta	bambi.jl			Negative binomial regression of student absences on program type and math score. Family: negativebinomial.
42	bambi/negative_binomial_interaction	bambi	negative_binomial_interaction	true	Negative Binomial — Interaction	negative_binomial	negative_binomial	daysabs ~ 0 + prog + scale(math) + prog:scale(math)		negativebinomial	https://bambinos.github.io/bambi/notebooks/negative_binomial.html	https://stats.idre.ucla.edu/stat/stata/dae/nb_data.dta	bambi.jl			Negative binomial regression adding program-by-math interaction term. Family: negativebinomial.
43	bambi/count_roaches_poisson	bambi	count_roaches_poisson	true	Count Regression with Offset — Poisson	count_roaches	count_roaches	y ~ roach1 + treatment + senior + offset(log(exposure2))		poisson	https://bambinos.github.io/bambi/notebooks/count_roaches.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/roaches.csv	bambi.jl			Poisson regression of roach counts with log-exposure offset. Family: poisson.
44	bambi/count_roaches_nb	bambi	count_roaches_nb	true	Count Regression with Offset — Negative Binomial	count_roaches	count_roaches	y ~ roach1 + treatment + senior + offset(log(exposure2))		negativebinomial	https://bambinos.github.io/bambi/notebooks/count_roaches.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/roaches.csv	bambi.jl			Negative binomial regression of roach counts with log-exposure offset; accounts for overdispersion relative to Poisson. Family: negativebinomial.
45	bambi/beta_probs_intercept	bambi	beta_probs_intercept	true	Beta Regression — Intercept Only (Probabilities)	beta_regression	beta_probs	probabilities ~ 1		beta	https://bambinos.github.io/bambi/notebooks/beta_regression.html	synthetic	bambi.jl			Intercept-only beta regression on synthetic probability data. Family: beta.
46	bambi/beta_coin	bambi	beta_coin	true	Beta Regression — Coin Dirt	beta_regression	beta_coin	p ~ delta_d		beta	https://bambinos.github.io/bambi/notebooks/beta_regression.html	synthetic	bambi.jl			Beta regression of probability on coin dirt differential. Family: beta.
47	bambi/beta_batting_intercept	bambi	beta_batting_intercept	true	Beta Regression — Batting Average Intercept Only	beta_regression	beta_batting	batting_avg ~ 1		beta	https://bambinos.github.io/bambi/notebooks/beta_regression.html	https://ndownloader.figshare.com/files/29749140	bambi.jl			Intercept-only beta regression on baseball batting averages. Family: beta.
48	bambi/beta_batting_shift	bambi	beta_batting_shift	true	Beta Regression — Batting Average with Shift Predictor	beta_regression	beta_batting	batting_avg ~ batting_avg_shift		beta	https://bambinos.github.io/bambi/notebooks/beta_regression.html	https://ndownloader.figshare.com/files/29749140	bambi.jl			Beta regression of batting average on prior-year batting average. Family: beta.
49	bambi/categorical_toy	bambi	categorical_toy	true	Categorical Regression — Toy Dataset	categorical_regression	categorical_toy	y ~ x		categorical	https://bambinos.github.io/bambi/notebooks/categorical_regression.html	synthetic	bambi.jl			Categorical regression on three Gaussian classes. Family: categorical.
50	bambi/categorical_iris	bambi	categorical_iris	true	Categorical Regression — Iris Species	categorical_regression	categorical_regression	species ~ sepal_length + sepal_width + petal_length + petal_width		categorical	https://bambinos.github.io/bambi/notebooks/categorical_regression.html	https://vincentarelbundock.github.io/Rdatasets/csv/datasets/iris.csv	bambi.jl			Categorical regression predicting iris species from morphological measurements. Family: categorical.
51	bambi/categorical_alligator	bambi	categorical_alligator	true	Categorical Regression — Alligator Food Choice	categorical_regression	categorical_alligator	choice ~ length + sex		categorical	https://bambinos.github.io/bambi/notebooks/categorical_regression.html	synthetic	bambi.jl			Categorical regression of alligator food choice on body length and sex. Family: categorical.
52	bambi/circular_vonmises	bambi	circular_vonmises	true	Circular Regression — Von Mises Family	circular_regression	circular_regression	direction ~ distance		vonmises	https://bambinos.github.io/bambi/notebooks/circular_regression.html	https://ndownloader.figshare.com/files/34446077	bambi.jl			Circular regression of periwinkle direction on distance using von Mises distribution. Family: vonmises.
53	bambi/circular_gaussian	bambi	circular_gaussian	true	Circular Regression — Gaussian Comparison	circular_regression	circular_regression	direction ~ distance		gaussian	https://bambinos.github.io/bambi/notebooks/circular_regression.html	https://ndownloader.figshare.com/files/34446077	bambi.jl			Gaussian regression of circular direction data; used as a misspecified comparison model against the von Mises. Family: gaussian.
54	bambi/quantile_p10	bambi	quantile_p10	true	Quantile Regression — p10 (Asymmetric Laplace)	quantile_regression	quantile_regression	bmi ~ bs(age, knots=knots)		asymmetriclaplace, kappa=0	https://bambinos.github.io/bambi/notebooks/quantile_regression.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/bmi.csv	bambi.jl			Spline regression targeting the 10th percentile of BMI. Family: asymmetriclaplace, kappa=0.1.
55	bambi/quantile_p50	bambi	quantile_p50	true	Quantile Regression — p50 (Asymmetric Laplace)	quantile_regression	quantile_regression	bmi ~ bs(age, knots=knots)		asymmetriclaplace, kappa=0	https://bambinos.github.io/bambi/notebooks/quantile_regression.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/bmi.csv	bambi.jl			Spline regression targeting the 50th percentile (median) of BMI. Family: asymmetriclaplace, kappa=0.5.
56	bambi/quantile_p90	bambi	quantile_p90	true	Quantile Regression — p90 (Asymmetric Laplace)	quantile_regression	quantile_regression	bmi ~ bs(age, knots=knots)		asymmetriclaplace, kappa=0	https://bambinos.github.io/bambi/notebooks/quantile_regression.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/bmi.csv	bambi.jl			Spline regression targeting the 90th percentile of BMI. Family: asymmetriclaplace, kappa=0.9.
57	bambi/quantile_gaussian	bambi	quantile_gaussian	true	Quantile Regression — Gaussian Comparison	quantile_regression	quantile_regression	bmi ~ bs(age, knots=knots)		gaussian	https://bambinos.github.io/bambi/notebooks/quantile_regression.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/bmi.csv	bambi.jl			Spline regression using Gaussian family; used as comparison model to quantile approach. Family: gaussian.
58	bambi/mister_p	bambi	mister_p	true	MrP — Multilevel Regression and Post-Stratification	mister_p	mister_p	p(abortion, n) ~ male + repvote + (1|state) + (1|eth) + (1|edu) + (1|male:eth) + (1|edu:age) + (1|edu:eth)		binomial	https://bambinos.github.io/bambi/notebooks/mister_p.html	https://dataverse.harvard.edu/	bambi.jl			Multilevel binomial regression with crossed random effects for state, ethnicity, education and interactions; used for post-stratification. Family: binomial.
59	bambi/zip_mu	bambi	zip_mu	true	Zero Inflated Poisson — Mu Component	zero_inflated	zero_inflated	count ~ livebait + camper + persons + child		zero_inflated_poisson	https://bambinos.github.io/bambi/notebooks/zero_inflated_regression.html	https://stats.idre.ucla.edu/stat/data/fish.csv	bambi.jl			ZIP mu component: models the expected count given non-zero. Family: zero_inflated_poisson.
60	bambi/zip_psi	bambi	zip_psi	true	Zero Inflated Poisson — Psi Component	zero_inflated	zero_inflated	psi ~ livebait + camper + persons + child		zero_inflated_poisson	https://bambinos.github.io/bambi/notebooks/zero_inflated_regression.html	https://stats.idre.ucla.edu/stat/data/fish.csv	bambi.jl			ZIP psi component: models the probability of excess zeros. Family: zero_inflated_poisson.
61	bambi/hurdle_mu	bambi	hurdle_mu	true	Hurdle Poisson — Mu Component	zero_inflated	zero_inflated	count ~ livebait + camper + persons + child		hurdle_poisson	https://bambinos.github.io/bambi/notebooks/zero_inflated_regression.html	https://stats.idre.ucla.edu/stat/data/fish.csv	bambi.jl			Hurdle Poisson mu component: models the expected count given positive. Family: hurdle_poisson.
62	bambi/hurdle_psi	bambi	hurdle_psi	true	Hurdle Poisson — Psi Component	zero_inflated	zero_inflated	psi ~ livebait + camper + persons + child		hurdle_poisson	https://bambinos.github.io/bambi/notebooks/zero_inflated_regression.html	https://stats.idre.ucla.edu/stat/data/fish.csv	bambi.jl			Hurdle Poisson psi component: models the probability of a non-zero outcome. Family: hurdle_poisson.
63	bambi/ordinal_trolley_intercept	bambi	ordinal_trolley_intercept	true	Ordinal Regression — Trolley Intercept Only	ordinal_regression	ordinal_regression	response ~ 0		cumulative	https://bambinos.github.io/bambi/notebooks/ordinal_regression.html	https://raw.githubusercontent.com/rmcelreath/rethinking/master/data/Trolley.csv	bambi.jl			Cumulative ordinal model with only threshold parameters, no predictors. Family: cumulative.
64	bambi/ordinal_trolley_effects	bambi	ordinal_trolley_effects	true	Ordinal Regression — Trolley Action/Intention/Contact	ordinal_regression	ordinal_regression	response ~ 0 + action + intention + contact + action:intention + contact:intention		cumulative	https://bambinos.github.io/bambi/notebooks/ordinal_regression.html	https://raw.githubusercontent.com/rmcelreath/rethinking/master/data/Trolley.csv	bambi.jl			Cumulative ordinal model with action, intention, contact and their interactions. Family: cumulative.
65	bambi/ordinal_hr_years	bambi	ordinal_hr_years	true	Ordinal Regression — HR Years at Company	ordinal_regression	hr_attrition	YearsAtCompany ~ 0 + TotalWorkingYears		sratio	https://bambinos.github.io/bambi/notebooks/ordinal_regression.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/hr_employee_attrition.tsv.txt	bambi.jl			Sequential ratio (sratio) ordinal model predicting years at company from total working years. Family: sratio.
66	bambi/distributional_const_alpha	bambi	distributional_const_alpha	true	Distributional Models — Constant Alpha	distributional_models	distributional_synth	y ~ x		gamma	https://bambinos.github.io/bambi/notebooks/distributional_models.html	synthetic	bambi.jl			Gamma regression with a single (constant) shape parameter alpha. Family: gamma.
67	bambi/distributional_var_alpha	bambi	distributional_var_alpha	true	Distributional Models — Varying Alpha	distributional_models	distributional_synth	y ~ x  +  alpha ~ x		gamma	https://bambinos.github.io/bambi/notebooks/distributional_models.html	synthetic	bambi.jl			Distributional gamma regression: compound formula models both mu and alpha as functions of x. Family: gamma.
68	bambi/distributional_bikes	bambi	distributional_bikes	true	Distributional Models — Bikes Spline	distributional_models	distributional_models	count ~ 0 + bs(hour, 8, intercept=True)  +  alpha ~ 0 + bs(hour, 8, intercept=True)		gamma	https://bambinos.github.io/bambi/notebooks/distributional_models.html	https://ndownloader.figshare.com/files/38737026	bambi.jl			Distributional gamma regression on hourly bike count data; both mu and alpha modeled with spline basis functions. Family: gamma.
69	bambi/hsgp_1d_basic	bambi	hsgp_1d_basic	true	HSGP 1D — Basic	hsgp_1d	hsgp_1d	y ~ 0 + hsgp(x, m=10, c=2)		gaussian	https://bambinos.github.io/bambi/notebooks/hsgp_1d.html	synthetic	bambi.jl			Hilbert-space Gaussian process approximation on 1D synthetic data. Family: gaussian.
70	bambi/hsgp_1d_centered	bambi	hsgp_1d_centered	true	HSGP 1D — Centered Parameterization	hsgp_1d	hsgp_1d	y ~ 0 + hsgp(x, m=10, c=2, centered=True)		gaussian	https://bambinos.github.io/bambi/notebooks/hsgp_1d.html	synthetic	bambi.jl			HSGP with centered parameterization on 1D synthetic data. Family: gaussian.
71	bambi/hsgp_1d_by_group	bambi	hsgp_1d_by_group	true	HSGP 1D — By Group (Shared Covariance)	hsgp_1d	gam_data	y ~ 0 + hsgp(x2, by=fac, m=12, c=1.5)		gaussian	https://bambinos.github.io/bambi/notebooks/hsgp_1d.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/gam_data.csv	bambi.jl			HSGP on GAM data with group-specific processes sharing covariance parameters. Family: gaussian.
72	bambi/hsgp_1d_nocov	bambi	hsgp_1d_nocov	true	HSGP 1D — By Group (No Shared Covariance)	hsgp_1d	gam_data	y ~ 0 + hsgp(x2, by=fac, m=12, c=1.5, share_cov=False)		gaussian	https://bambinos.github.io/bambi/notebooks/hsgp_1d.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/gam_data.csv	bambi.jl			HSGP on GAM data with group-specific processes and independent covariance parameters. Family: gaussian.
73	bambi/hsgp_2d_iso	bambi	hsgp_2d_iso	true	HSGP 2D — Isotropic	hsgp_2d	hsgp_2d	outcome ~ 0 + hsgp(x, y, c=1.5, m=10)		gaussian	https://bambinos.github.io/bambi/notebooks/hsgp_2d.html	synthetic	bambi.jl			Isotropic 2D Hilbert-space Gaussian process on synthetic data. Family: gaussian.
74	bambi/hsgp_2d_by_group	bambi	hsgp_2d_by_group	true	HSGP 2D — By Group (Shared Covariance)	hsgp_2d	hsgp_2d	outcome ~ 0 + hsgp(x, y, by=group, c=1.5, m=10)		gaussian	https://bambinos.github.io/bambi/notebooks/hsgp_2d.html	synthetic	bambi.jl			2D HSGP with group-specific processes sharing covariance parameters. Family: gaussian.
75	bambi/hsgp_2d_nocov	bambi	hsgp_2d_nocov	true	HSGP 2D — By Group (No Shared Covariance)	hsgp_2d	hsgp_2d	outcome ~ 0 + hsgp(x, y, by=group, c=1.5, m=10, share_cov=False)		gaussian	https://bambinos.github.io/bambi/notebooks/hsgp_2d.html	synthetic	bambi.jl			2D HSGP with group-specific processes and independent covariance parameters. Family: gaussian.
