feature	current_translator_claim	classification	current_source_evidence	current_test_example	effect_on_translation	affected_row_keys_or_rule	probe_command	probe_result
categorical outcome likelihood	likelihood family `categorical` has no semantics-preserving current translation	genuinely-missing-brm-surface	src/sbimpl.jl:3614-3639 family map has no Categorical entry	web-macro/examples/3.1-multivariate-outcomes-cbind-y1-y2.jl does not cover categorical outcomes; no passing categorical-family test	Keep unsupported until a categorical/categorical_logit marker, vector-valued predictor, and lowering exist	bambi:categorical_toy,bambi:categorical_iris,bambi:categorical_alligator,kruschke:softmax_categorical	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl categorical_likelihood	raised no _sb_stan_dist_name entry for Categorical
proportional-odds ordinal outcome	likelihood family `cumulative` has no semantics-preserving current translation	already-expressible-via-semantic-rewrite	src/sbimpl.jl:3596-3613 implements OrderedLogistic with ordered cutpoints	web-macro/examples/0.17-ordered-logistic.jl:5-6 and 3.4-ordinal-outcomes-proportional-odds.jl:7-8	Map cumulative-logit/proportional-odds rows to OrderedLogistic after confirming link and threshold structure	bambi:ordinal_trolley_intercept,bambi:ordinal_trolley_effects; translate.jl:365-367 incorrectly only recognizes ordered_logistic family name	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl ordinal	built=true;transpiles=true;stanc=true
non-logit ordinal, sratio, discrimination/heterogeneous thresholds	likelihood family `sratio` has no semantics-preserving current translation; likelihood family `cumulative` has no semantics-preserving current translation	historical-semantics-unresolved	src/sbimpl.jl:3596-3613 implements only ordered_logistic with one eta and generated cutpoints	web-macro/examples/3.4-ordinal-outcomes-proportional-odds.jl:1-8 covers proportional odds only	Do not silently map probit, sequential-ratio, discrimination, category-specific, or custom-threshold models to OrderedLogistic	bambi:ordinal_hr_years; kruschke:condlog1_ordinal,kruschke:condlog2_ordinal; multi-formula ordinal_probit rows	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl ordinal	basic logit passes; requested variant semantics are absent from the stock marker
zero-inflated Poisson marker	row pairing unresolved; source appears to expose ZIP	genuinely-missing-brm-surface	src/sbimpl.jl:65-73 defines marker and src/sbimpl.jl:3637 maps name, but src/sbimpl.jl:3653-3663 dispatches only Distribution subtypes or bespoke methods; marker is neither	web-macro/examples/0.14-zip.jl:5-7 and 3.11-zero-inflated-hurdle-likelihoods.jl:6-8 advertise spelling but no current passing test	Do not mark ZIP ready until a bespoke likelihood method or Distribution subtype is wired; substrate ZIP lpmf exists	translate.jl:392-394; bambi:zip_mu,bambi:zip_psi,bambi:plot_comp_zip and ZIP family rows	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl zip	raised likelihood family ZeroInflatedPoisson (arity 2) not supported yet
split historical ZIP component rows	row does not authoritatively pair the mean and zero-inflation submodels	historical-semantics-unresolved	src/macro.jl:16-27 could represent paired log_rate/logit(zi) equations once evidence and dispatch exist	web-macro/examples/0.14-zip.jl:5-7 shows required paired shape	Surface availability cannot decide which split rows belong together; retain evidence blocker separately from current dispatch bug	bambi:zip_mu,bambi:zip_psi,bambi:plot_comp_zip	awk inspection of translations.tsv unsupported note	three unique historical keys carry pairing warning
hurdle likelihoods	likelihood family `hurdle_poisson` has no semantics-preserving current translation	genuinely-missing-brm-surface	src/sbimpl.jl:3614-3639 has no hurdle marker/name mapping	docs/src/plate-building-blocks.md:421-436 says plate pattern covers hurdle; web-macro/examples/3.11-zero-inflated-hurdle-likelihoods.jl:1-8 only spells ZIP	Keep stock formula unsupported; custom scalar density on kernel/plate means substrate is available	bambi:hurdle_mu,bambi:hurdle_psi; glmmtmb:owls_hurdle	 rg -n 'Hurdle|hurdle' src test	no native hurdle family/emitter found
AR(1) single-series predictor	AR/time-series unsupported or domain-specific latent process	already-expressible-verbatim	src/sbimpl.jl:3398-3415 implements ar(time;p=1)	web-macro/examples/3.7-autoregressive-submodels-ar-ar1.jl:1-7 records all stages passing (example uses equivalent keyword form)	Preserve ar(time;p=1) for compatible single-series residual structure	translate.jl:307 and time-series rows such as mvgam/INLA unresolved routes	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl ar1	built=true;transpiles=true;stanc=true
AR(p>1), grouped AR, RW/state-space	AR/time-series or rw/enw latent process	genuinely-missing-brm-surface	src/sbimpl.jl:3402-3407 explicitly rejects p != 1	docs/src/plate-building-blocks.md:476-491 describes grouped per-series AR/state-space substrate pattern	Route exact AR1 only; higher-order/grouped/random-walk structures need custom kernel/plate declarations	translate.jl:307; route-specific epinowcast and mvgam time-series keys; unresolved INLA RW/AR rows	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl ar2	raised ar(time;p=2) only supports p=1
phylogenetic/fcor/relationship covariance	structured covariance fcor/gr blocked	genuinely-missing-brm-surface	src/sbimpl.jl:2485-2539 implements gr grouping only; no fcor/phylo matrix term is exported	web-macro/examples/2.6-id-correlated-random-effects-stratified.jl:1-9 covers ID/strata, not known covariance	Keep phylo/relationship covariance off ordinary BRM path; explicit Cholesky/custom plate model can use StanBlocks	brms:phylo_pois,mcmcglmm:btdata_bivariate,mcmcglmm:pbcseq_bivariate and unresolved phylo rows; translate.jl:150-152,304	rg -n 'fcor|phylo' src test	no native fcor/phylo term found
offset/fixed exposure	offset becomes ordinary log exposure	already-expressible-via-semantic-rewrite	src/sbimpl.jl:3444-3473 materializes raw expressions in predictors; likelihood scalar reducer supports nested expression arguments	web-macro/examples/1.2-offset-fixed-exposure-already-works-without-a-wrapper.jl:1-7 explicitly uses Poisson(exp(loc+log(exposure)))	Rewrite offset(log(exposure)) into the likelihood/link expression; do not use exported offset in Stan backend	translate.jl:189,362-364 and Poisson offset rows	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl offset_semantic_rewrite offset_wrapper	rewrite built/transpiled/stanc=true; offset wrapper raised MethodError offset(::Float64)
response expressions/subsetting/transforms	response expression needs an explicit data-derivation step	already-expressible-via-semantic-rewrite	src/macro.jl:11-24 accepts named response columns; src/sbimpl.jl:3523-3555 targets data-backed observations and one-arg wrappers for dependency discovery	no direct response-expression example; web-macro/examples/1.3-i-expr-likely-already-works.jl:1-6 demonstrates data-expression materialization on predictor side	Precompute response expression as a named data column; preserve Jacobian/conditioning review for transformed responses	bambi:logistic_anes,bambi:model_comparison_linear,bambi:model_comparison_quad,bambi:model_comparison_cubic,inla:veteran_weibull	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl response_expression_derived_rewrite	built=true;transpiles=true;stanc=true
Student-t likelihood	likelihood family `t` has no semantics-preserving current translation	already-expressible-via-semantic-rewrite	src/sbimpl.jl:3620-3624 maps TDist to student_t; src/sbimpl.jl:3641-3646 pads mu=0,sigma=1	none in repo gallery; current family mapping is executable source evidence	Map a standard t row to TDist(nu); regression-location/scale t requires explicit student-t semantics or custom marker	bambi:t_regression_t	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl student_t	built=true;transpiles=true;stanc=true
negative-binomial family	current NegativeBinomial Julia/Stan parameterizations are documented as non-identical	historical-semantics-unresolved	src/sbimpl.jl:3587-3591 explicitly warns Julia r,p versus Stan alpha,beta are not posterior-identical; src/sbimpl.jl:3638 maps neg_binomial	none provides an equivalence test; translator proposes absent NegativeBinomial2Log at translate.jl:384-391	Do not claim faithful translation until mean/shape parameterization and both backends agree	bambi:negative_binomial_main,bambi:negative_binomial_interaction,bambi:count_roaches_nb,bambi:plot_pred_nb,brms:distreg_nb,rstanarm:roaches_nb,glm_jl:quine_nb	rg -n 'NOT posterior-identical|NegativeBinomial2Log' src/sbimpl.jl research/historical_model_inventory/translate.jl	explicit current-source mismatch warning; no stock NB2Log marker
Von Mises circular likelihood	likelihood family `vonmises` has no semantics-preserving current translation	genuinely-missing-brm-surface	src/sbimpl.jl:3614-3639 family table has no VonMises mapping	no VonMises repo test/example	Keep unsupported at BRM family surface; Stan has a density so this is not established as substrate absence	bambi:circular_vonmises	rg -n 'VonMises|von_mises' src test	no native mapping/test found
Wald/inverse-Gaussian likelihood	likelihood family `wald` has no semantics-preserving current translation	genuinely-missing-brm-surface	src/sbimpl.jl:3614-3639 family table has no Wald/InverseGaussian mapping	no Wald repo test/example	Keep unsupported pending explicit parameterization and marker; do not infer Gamma equivalence	bambi:wald_gamma_wald	rg -n 'Wald|InverseGaussian|inv_gaussian' src test	no native mapping/test found
binomial rows without trial count	binomial size is absent; refusing to guess Bernoulli versus grouped Binomial	historical-semantics-unresolved	src/BayesianRegressionModels.jl:50-56 exports BinomialLogit but size is an explicit argument	web-macro/examples/0.11-binomial.jl:5-6 supplies bin_n explicitly	Preserve unresolved status until trials denominator is recovered; surface exists once size is known	lme4:verbagg_crossed,lme4:contraception_urban,glm_jl:pima_logistic	awk inspection plus web-macro binomial example	three unique keys lack authoritative size; native example requires bin_n
multiple-component domain models	multiple component formulas require an explicit joint declaration	already-expressible-via-semantic-rewrite	src/macro.jl:16-27 supports multiple declarations; src/sbimpl.jl:1690-1858 supports custom joint kernel cells	docs/src/plate-building-blocks.md:204-223 maps per-cell likelihoods and structured fields; test/kernel_term.jl:143-169 gives multi-output example	Replace semicolon/component syntax with explicit declarations or a kernel/plate model when component semantics are recovered	mcmcglmm:plodia_iid,mcmcglmm:btdata_iid,mcmcglmm:chickweight_rslope,mcmcglmm:sshorns_ordinal,glmmtmb:owls_zip,glmmtmb:owls_zinb2,glmmtmb:owls_zinb1,glmmtmb:owls_hurdle,glmmtmb:salamanders_zinb2,glmmtmb:salamanders_genpois,glmmtmb:beta_disp	BRM_KERNEL_RUNTIME=0 julia --project=. test/kernel_term.jl	multi-output custom declaration passes transpile/stanc; exact domain semantics still must be recovered
route-specific structured latent/time-series/spatial models	requires faithful stanblocks_plate implementation; no ordinary-formula substitute	historical-semantics-unresolved	docs/src/plate-building-blocks.md:204-223,476-491 documents group-local, per-cell and state-space substrate; src/sbimpl.jl:1868-1910 exposes structured group-block extension	test/kernel_term.jl:218-302 and test/plate_stress.jl:204-224 exercise substrate, but not each historical model	Keep route-specific rather than calling substrate missing; implement only after latent-process/covariance semantics are recovered	brms:phylo_pois,epinowcast:enw_basic,epinowcast:enw_report_dow,epinowcast:enw_rt_renewal,flocker:autologistic_equilibrium,mvgam:portal_glm_re,mvgam:portal_ar_ndvi,mvgam:plankton_var,inla:penicillin_iid,inla:sleepstudy_iid,inla:sleepstudy_slopes,inla:boston_besag,mcmcglmm:btdata_bivariate,mcmcglmm:pbcseq_bivariate	BRM_KERNEL_RUNTIME=0 julia --project=. test/kernel_term.jl	kernel/plate path passes; no claim that individual historical semantics are reconstructed
unresolved family metadata	family is not explicit or defensibly inferred	historical-semantics-unresolved	research/historical_model_inventory/translate.jl:289-291 exits before inspecting current surface	research/historical_model_inventory/translations.tsv: header and 462 unresolved-family rows	Do not count unresolved-family rows as BRM capability gaps; resolve family evidence first, then apply feature audit	462 current translations.tsv rows with translation_status=unresolved-family	awk -F '\t' 'NR>1&&$26=="unresolved-family"{n++}END{print n}' research/historical_model_inventory/translations.tsv	462
