row_key	recovered_family	evidence_class	evidence_strength	authoritative_surface	authoritative_revision	authoritative_path_anchor	retrieved_at_utc	http_status	explicit_evidence	semantic_evidence	dataset_evidence	negative_evidence	decision_rationale
brms:income_mo_city	gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_monotonic.Rmd:219-224; brms:R/brm.R:449; BRM:scripts/examples/brms.jl; BRM:scripts/examples/brms.jl:313 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The exact brm call omits family; brms R/brm.R:449 declares brm(formula, data, family = gaussian()); this explicit API default is applied only where the cited exact brm call omits family.	mo(), factor coding, interactions, and group-level slopes change the predictor structure, not the response family.	Frozen synthetic loader makes 200 rows; ls is numeric and generated as income_num + 0.4*age + randn noise; income has four labels, income_num is 1-4, age and city are strings.	The frozen synthetic data differ in size/coding from the vignette's 100-row simulation, but both have continuous ls; no contradictory family evidence found.	The exact call and explicit brm API default recover gaussian.
brms:btdata_compact	multivariate_gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; CRAN MCMCglmm package; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; MCMCglmm 2.36; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_multivariate.Rmd:47-57; brms:R/brm.R:449; BRM:scripts/examples/brms.jl:341-346; BRM:scripts/examples/brms.jl:341 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The source calls the exact mvbind formula a multivariate normal model and brm omits family; brms R/brm.R:449 declares brm(formula, data, family = gaussian()); this explicit API default is applied only where the cited exact brm call omits family.	mvbind expands to two Gaussian response components and set_rescor(TRUE) estimates their residual correlation.	Package-owned BTdata is 828x7 with tarsus,back,animal,dam,fosternest,hatchdate,sex; first tarsus/back values are -1.89229718155107 and 1.14642115004672.	Frozen Rdatasets BTdata URL returned HTTP 404 and is absent from current Rdatasets; package object supplied schema support.	The exact authoritative model description plus explicit brm default recover Gaussian for both responses.
brms:btdata_explicit	multivariate_gaussian	defensible-semantic-inference	high	https://github.com/paul-buerkner/brms; CRAN MCMCglmm package; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; MCMCglmm 2.36; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_multivariate.Rmd:47-70; brms:R/brm.R:449; BRM:scripts/examples/brms.jl:357-362; BRM:scripts/examples/brms.jl:357 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The source exact compact mvbind model is a multivariate normal model and uses brm's Gaussian default.	The frozen two-bf formula is the response-wise expansion of that compact model with the same predictors, grouping IDs, and residual correlation.	BTdata is 828x7 and both responses are numeric continuous measurements.	The exact expanded string is not the source call; it is an adaptation. Frozen Rdatasets URL is HTTP 404.	Semantic equivalence to the exact compact Gaussian model supports the two response-specific Gaussian families.
brms:btdata_spline	multivariate_skew_normal_gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; CRAN MCMCglmm package; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; historical brms e5000587444d2ae04acf071a55975d4218bd2ffe; MCMCglmm 2.36; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_multivariate.Rmd:143-166 (current lines 150-166); historical same model at e5000587 lines 143-158; BRM:scripts/examples/brms.jl:373-378; BRM:scripts/examples/brms.jl:373 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The source explicitly adds skew_normal() to bf_tarsus and gaussian() to bf_back; the frozen formula itself also explicitly places family=skew_normal() on tarsus.	This is a response-specific multivariate family. The family assignment survives predictor drift even though residual correlation is invalid once one component is non-Gaussian.	BTdata is 828x7; tarsus and back are continuous numeric responses.	Catalog formula materially drifts: it puts sex and s(hatchdate,k=5) in both responses and set_rescor(TRUE); source puts sex only in tarsus, spline only in back, and set_rescor(FALSE). Frozen Rdatasets URL is HTTP 404.	Families are explicit and concordant even though the overall formula is source-mismatched.
brms:nonlinear_exp	gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_nonlinear.Rmd:81-86; brms:R/brm.R:449; BRM:scripts/examples/brms.jl; BRM:scripts/examples/brms.jl:434 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The exact brm call omits family; brms R/brm.R:449 declares brm(formula, data, family = gaussian()); this explicit API default is applied only where the cited exact brm call omits family.	Nonlinear predictor syntax changes the mean function only; the comparison y~x uses the same explicit default.	Frozen synthetic loader produces 100 numeric x,y rows with y=2*exp(-x)+0.1*randn noise.	No contradictory family evidence found.	Exact authoritative call plus explicit API default recover gaussian.
brms:nonlinear_linear	gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_nonlinear.Rmd:130-135; brms:R/brm.R:449; BRM:scripts/examples/brms.jl; BRM:scripts/examples/brms.jl:450 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The exact brm call omits family; brms R/brm.R:449 declares brm(formula, data, family = gaussian()); this explicit API default is applied only where the cited exact brm call omits family.	Nonlinear predictor syntax changes the mean function only; the comparison y~x uses the same explicit default.	Frozen synthetic loader produces 100 numeric x,y rows with y=2*exp(-x)+0.1*randn noise.	No contradictory family evidence found.	Exact authoritative call plus explicit API default recover gaussian.
brms:phylo_simple_re	gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; paul-buerkner data files; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_phylogenetics.Rmd:76-89; BRM:scripts/examples/brms.jl:532-537; BRM:scripts/examples/brms.jl:532 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The exact model_simple call passes family = gaussian().	The covariance-aware group term changes random-effect covariance, not the response family.	data_simple.txt returned HTTP 200 after redirect and has 200 rows, columns phen,cofactor,phylo; first row is 107.06594552882,10.3095880549453,sp_1.	No contradictory family evidence found.	Family is explicit on the exact authoritative call.
brms:phylo_simple_resid	gaussian	defensible-semantic-inference	medium-high	https://github.com/paul-buerkner/brms; paul-buerkner data files; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; historical brms a08037435ba185387519c52bf8e802e3a36a2331; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_phylogenetics.Rmd:76-89,122-156; historical pre-formula-interface versions also explicitly pass gaussian; BRM:scripts/examples/brms.jl; BRM:scripts/examples/brms.jl:547 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The authoritative simple and repeated phylogenetic calls explicitly pass family = gaussian().	The added ordinary phylo intercept would add non-phylogenetic species variation but does not change the continuous Gaussian response likelihood.	data_simple is 200x3; data_repeat is 1000x4 with phen,cofactor,species,phylo and first phen=107.419186680064.	No authoritative exact call was found for the catalog combination; source model_simple lacks +(1|phylo).	Gaussian is defensible from the explicit nearest authoritative model with the same response, but formula drift prevents exact-family-recovery classification.
brms:phylo_repeat_re	gaussian	defensible-semantic-inference	medium-high	https://github.com/paul-buerkner/brms; paul-buerkner data files; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; historical brms a08037435ba185387519c52bf8e802e3a36a2331; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_phylogenetics.Rmd:76-89,122-156; historical pre-formula-interface versions also explicitly pass gaussian; BRM:scripts/examples/brms.jl; BRM:scripts/examples/brms.jl:563 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The authoritative simple and repeated phylogenetic calls explicitly pass family = gaussian().	Changing spec_mean_cf to raw cofactor changes the estimand, not the continuous Gaussian response likelihood.	data_simple is 200x3; data_repeat is 1000x4 with phen,cofactor,species,phylo and first phen=107.419186680064.	The source repeated model uses spec_mean_cf, not cofactor; exact catalog call was not found.	Gaussian is defensible from the explicit nearest authoritative model with the same response, but formula drift prevents exact-family-recovery classification.
brms:phylo_effect	gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; paul-buerkner data files; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; historical brms a08037435ba185387519c52bf8e802e3a36a2331; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_phylogenetics.Rmd:230-246; BRM:scripts/examples/brms.jl:579-584; BRM:scripts/examples/brms.jl:579 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The Fisher-z meta-analysis call explicitly passes family = gaussian().	se(...) supplies known sampling standard deviations and group effects model heterogeneity; neither replaces the Gaussian likelihood.	data_effect.txt returned HTTP 200 after redirect and has 200 rows with Zr,N,phylo; first row is Zr=0.289175491370156,N=13,phylo=sp_1.	Current source also adds +(1|obs), absent in the catalog, but family remains explicit Gaussian.	Explicit family on the authoritative Fisher-z call recovers gaussian despite a random-effect omission.
mcelreath:cherry_blossoms	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	04.qmd#L2271-L2319	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:178 returns 'doy ~ 1 + B' with no family. The book states day_in_year_i ~ Normal(mu_i,sigma) and the matching spline brm sets family = gaussian.	BRM doy and B correspond to book day_in_year and the spline basis; the likelihood statement is independent of the basis-column naming.	BRM loader is CSV.read(RETHINKING_URL*cherry_blossoms.csv), dropmissing(:doy). Upstream CSV schema is year,doy,temp,temp_upper,temp_lower; first rows are years 801 and 802 with doy/temp missing.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:178, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:waffle_divorce_a	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	05.qmd#L151-L170	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:209 returns 'D ~ 1 + A' with no family. Matching age-at-marriage model states divorce_std_i ~ Normal(mu_i,sigma) and brm sets family = gaussian.	Historical BRM formula is 'D ~ 1 + A'. Authoritative formula/likelihood at 05.qmd#L151-L170 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is CSV.read(RETHINKING_URL*WaffleDivorce.csv), then D/A/M are standardized. Upstream schema includes Location,MedianAgeMarriage,Marriage,Marriage SE,Divorce,Divorce SE and others; Alabama begins MedianAgeMarriage=25.3, Marriage=20.2, Divorce=12.7.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:209, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:waffle_divorce_m	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	05.qmd#L248-L256	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:231 returns 'D ~ 1 + M' with no family. Matching marriage-rate model b5.2 explicitly sets family = gaussian.	Historical BRM formula is 'D ~ 1 + M'. Authoritative formula/likelihood at 05.qmd#L248-L256 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is CSV.read(RETHINKING_URL*WaffleDivorce.csv), then D/A/M are standardized. Upstream schema includes Location,MedianAgeMarriage,Marriage,Marriage SE,Divorce,Divorce SE and others; Alabama begins MedianAgeMarriage=25.3, Marriage=20.2, Divorce=12.7.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:231, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:waffle_divorce_am	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	05.qmd#L463-L482	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:253 returns 'D ~ 1 + M + A' with no family. Matching multiple regression states a Normal likelihood and explicitly sets family = gaussian.	Historical BRM formula is 'D ~ 1 + M + A'. Authoritative formula/likelihood at 05.qmd#L463-L482 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is CSV.read(RETHINKING_URL*WaffleDivorce.csv), then D/A/M are standardized. Upstream schema includes Location,MedianAgeMarriage,Marriage,Marriage SE,Divorce,Divorce SE and others; Alabama begins MedianAgeMarriage=25.3, Marriage=20.2, Divorce=12.7.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:253, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:waffle_divorce_mediator	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	05.qmd#L651-L659	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:275 returns 'M ~ 1 + A' with no family. Matching mediator regression m ~ 1 + a explicitly sets family = gaussian.	Historical BRM formula is 'M ~ 1 + A'. Authoritative formula/likelihood at 05.qmd#L651-L659 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is CSV.read(RETHINKING_URL*WaffleDivorce.csv), then D/A/M are standardized. Upstream schema includes Location,MedianAgeMarriage,Marriage,Marriage SE,Divorce,Divorce SE and others; Alabama begins MedianAgeMarriage=25.3, Marriage=20.2, Divorce=12.7.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:275, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:waffle_divorce_multivariate	multivariate_gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	05.qmd#L1013-L1031	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:297 returns 'bf(D ~ 1 + M + A) + bf(M ~ 1 + A) + set_rescor(FALSE)' with no family. The book defines d_model and m_model, combines them with set_rescor(FALSE), and explicitly sets family = gaussian.	Historical BRM formula is 'bf(D ~ 1 + M + A) + bf(M ~ 1 + A) + set_rescor(FALSE)'. Authoritative formula/likelihood at 05.qmd#L1013-L1031 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is CSV.read(RETHINKING_URL*WaffleDivorce.csv), then D/A/M are standardized. Upstream schema includes Location,MedianAgeMarriage,Marriage,Marriage SE,Divorce,Divorce SE and others; Alabama begins MedianAgeMarriage=25.3, Marriage=20.2, Divorce=12.7.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:297, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	Recover Gaussian for both response marginals, not a flattened univariate model: the authoritative fit is a bivariate causal model with separate residual scales and residual correlation fixed to zero.
