key	deployed	family_text_claim	dataset_source_claim	row_source_claim	hidden_claim	historical_sha	source_line	example_claim	source	source_path	formula_claim	formula_match	name_claim	formula_return	family_claim_provenance	row_index	verified_claim	family_claim	dataset_claim	variant	family_selected	family_selected_provenance	family_audit_evidence_class	family_audit_evidence_strength	family_audit_authoritative_surface	family_audit_authoritative_revision	family_audit_authoritative_path_anchor	family_audit_retrieved_at_utc	family_audit_http_status	family_audit_explicit_evidence	family_audit_semantic_evidence	family_audit_dataset_evidence	family_audit_negative_evidence	family_audit_decision_rationale	semantic_route	route_note	translation_status	surface_support_class	surface_secondary_gap	current_brm_body	translation_note	data_columns	group_columns	data_shape_assumptions
radon_pooled	true	gaussian	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	162	radon	bambi	scripts/examples/bambi.jl	log_radon ~ 0 + floor	true	Radon — Complete Pooling	log_radon ~ 0 + floor	inferred-from-description	6	false		radon	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	log_radon,floor		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
radon_pooled	true	gaussian	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	162	radon	bambi	scripts/examples/bambi.jl	log_radon ~ 0 + floor	true	Radon — Complete Pooling	log_radon ~ 0 + floor	inferred-from-description	6	false		radon	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	ready	already-expressible-verbatim		loc ~ 0 + floor\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax	log_radon,floor		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
radon_nopooling	true	gaussian	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	178	radon	bambi	scripts/examples/bambi.jl	log_radon ~ 0 + county:floor	true	Radon — No Pooling	log_radon ~ 0 + county:floor	inferred-from-description	7	false		radon	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	log_radon,county,floor		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
radon_nopooling	true	gaussian	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	178	radon	bambi	scripts/examples/bambi.jl	log_radon ~ 0 + county:floor	true	Radon — No Pooling	log_radon ~ 0 + county:floor	inferred-from-description	7	false		radon	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	ready	already-expressible-via-semantic-rewrite		loc ~ 0 + county & floor\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax	log_radon,county,floor		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
radon_partial	true	gaussian	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	194	radon	bambi	scripts/examples/bambi.jl	log_radon ~ 1 + (1|county)	true	Radon — Partial Pooling (Intercept Only)	log_radon ~ 1 + (1|county)	inferred-from-description	8	false		radon	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	log_radon,county	county	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
radon_partial	true	gaussian	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	194	radon	bambi	scripts/examples/bambi.jl	log_radon ~ 1 + (1|county)	true	Radon — Partial Pooling (Intercept Only)	log_radon ~ 1 + (1|county)	inferred-from-description	8	false		radon	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	ready	already-expressible-verbatim		loc ~ 1 + (1|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax	log_radon,county	county	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
radon_floor	true	gaussian	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	209	radon	bambi	scripts/examples/bambi.jl	log_radon ~ 1 + floor + (1|county)	true	Radon — Partial Pooling with Floor	log_radon ~ 1 + floor + (1|county)	inferred-from-description	9	false		radon	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	log_radon,floor,county	county	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
radon_floor	true	gaussian	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	209	radon	bambi	scripts/examples/bambi.jl	log_radon ~ 1 + floor + (1|county)	true	Radon — Partial Pooling with Floor	log_radon ~ 1 + floor + (1|county)	inferred-from-description	9	false		radon	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	ready	already-expressible-verbatim		loc ~ 1 + floor + (1|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax	log_radon,floor,county	county	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
radon_slopes	true	gaussian	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	224	radon	bambi	scripts/examples/bambi.jl	log_radon ~ floor + (floor|county)	true	Radon — Varying Slopes	log_radon ~ floor + (floor|county)	inferred-from-description	10	false		radon	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	log_radon,floor,county	county	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
radon_slopes	true	gaussian	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	224	radon	bambi	scripts/examples/bambi.jl	log_radon ~ floor + (floor|county)	true	Radon — Varying Slopes	log_radon ~ floor + (floor|county)	inferred-from-description	10	false		radon	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	ready	already-expressible-verbatim		loc ~ floor + (floor|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax	log_radon,floor,county	county	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
radon_county_pred	true	gaussian	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	239	radon	bambi	scripts/examples/bambi.jl	log_radon ~ floor + log_u + (1|county)	true	Radon — County-Level Uranium Predictor	log_radon ~ floor + log_u + (1|county)	inferred-from-description	11	false		radon	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	log_radon,floor,log_u,county	county	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
radon_county_pred	true	gaussian	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	239	radon	bambi	scripts/examples/bambi.jl	log_radon ~ floor + log_u + (1|county)	true	Radon — County-Level Uranium Predictor	log_radon ~ floor + log_u + (1|county)	inferred-from-description	11	false		radon	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	ready	already-expressible-verbatim		loc ~ floor + log_u + (1|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax	log_radon,floor,log_u,county	county	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
strack_rrr_simple	true	gaussian	https://github.com/bambinos/bambi	https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	272	strack_rrr	bambi	scripts/examples/bambi.jl	value ~ condition + (1|uid)	true	Strack RRR — Simple Random Effects	value ~ condition + (1|uid)	inferred-from-description	12	false		strack_rrr	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	value,condition,uid	uid	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
strack_rrr_simple	true	gaussian	https://github.com/bambinos/bambi	https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	272	strack_rrr	bambi	scripts/examples/bambi.jl	value ~ condition + (1|uid)	true	Strack RRR — Simple Random Effects	value ~ condition + (1|uid)	inferred-from-description	12	false		strack_rrr	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	ready	already-expressible-verbatim		loc ~ condition + (1|uid)\nlog(sigma) ~ 1\nvalue ~ Normal(loc, sigma)	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax	value,condition,uid	uid	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
strack_rrr_full	true	gaussian	https://github.com/bambinos/bambi	https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	288	strack_rrr	bambi	scripts/examples/bambi.jl	value ~ condition + age + gender + (1|uid) + (condition|study) + (condition|stimulus)	true	Strack RRR — Full Crossed Random Effects	value ~ condition + age + gender + (1|uid) + (condition|study) + (condition|stimulus)	inferred-from-description	13	false		strack_rrr	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	value,condition,age,gender,uid,study,stimulus	uid,study,stimulus	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
strack_rrr_full	true	gaussian	https://github.com/bambinos/bambi	https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	288	strack_rrr	bambi	scripts/examples/bambi.jl	value ~ condition + age + gender + (1|uid) + (condition|study) + (condition|stimulus)	true	Strack RRR — Full Crossed Random Effects	value ~ condition + age + gender + (1|uid) + (condition|study) + (condition|stimulus)	inferred-from-description	13	false		strack_rrr	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	ready	already-expressible-verbatim		loc ~ condition + age + gender + (1|uid) + (condition|study) + (condition|stimulus)\nlog(sigma) ~ 1\nvalue ~ Normal(loc, sigma)	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax	value,condition,age,gender,uid,study,stimulus	uid,study,stimulus	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
shooter_rate_simple	true	gaussian	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	321	shooter	bambi	scripts/examples/bambi.jl	rate ~ S(race) * S(object) + (S(race) * S(object) | subject)	true	Shooter Task — Rate (No Target Effect)	rate ~ S(race) * S(object) + (S(race) * S(object) | subject)	inferred-from-description	14	false		shooter	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	race,object,subject	subject	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
shooter_rate_simple	true	gaussian	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	321	shooter	bambi	scripts/examples/bambi.jl	rate ~ S(race) * S(object) + (S(race) * S(object) | subject)	true	Shooter Task — Rate (No Target Effect)	rate ~ S(race) * S(object) + (S(race) * S(object) | subject)	inferred-from-description	14	false		shooter	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	semantic-rewrite	already-expressible-via-semantic-rewrite			three-way/chained `*` expansion cannot be represented by current binary raw-column `&`; prederive the exact interaction/design columns	race,object,subject	subject	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
shooter_rate_target	true	gaussian	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	337	shooter	bambi	scripts/examples/bambi.jl	rate ~ S(race) * S(object) + (S(race) * S(object) | subject) + (S(object) | target)	true	Shooter Task — Rate (With Target Effect)	rate ~ S(race) * S(object) + (S(race) * S(object) | subject) + (S(object) | target)	inferred-from-description	15	false		shooter	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	race,object,subject,target	subject,target	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
shooter_rate_target	true	gaussian	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	337	shooter	bambi	scripts/examples/bambi.jl	rate ~ S(race) * S(object) + (S(race) * S(object) | subject) + (S(object) | target)	true	Shooter Task — Rate (With Target Effect)	rate ~ S(race) * S(object) + (S(race) * S(object) | subject) + (S(object) | target)	inferred-from-description	15	false		shooter	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	semantic-rewrite	already-expressible-via-semantic-rewrite			three-way/chained `*` expansion cannot be represented by current binary raw-column `&`; prederive the exact interaction/design columns	race,object,subject,target	subject,target	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
shooter_binary	true	bernoulli	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	353	shooter	bambi	scripts/examples/bambi.jl	shoot_or_not[shoot] ~ S(race)*S(object) + (S(race)*S(object) | subject) + (S(object) | target)	true	Shooter Task — Binary Shoot Decision	shoot_or_not[shoot] ~ S(race)*S(object) + (S(race)*S(object) | subject) + (S(object) | target)	inferred-from-description	16	false		shooter	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	shoot_or_not,shoot,race,object,subject,target	subject,target	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
shooter_binary	true	bernoulli	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	353	shooter	bambi	scripts/examples/bambi.jl	shoot_or_not[shoot] ~ S(race)*S(object) + (S(race)*S(object) | subject) + (S(object) | target)	true	Shooter Task — Binary Shoot Decision	shoot_or_not[shoot] ~ S(race)*S(object) + (S(race)*S(object) | subject) + (S(object) | target)	inferred-from-description	16	false		shooter	inferred-family	bernoulli	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	semantic-rewrite	already-expressible-via-semantic-rewrite			three-way/chained `*` expansion cannot be represented by current binary raw-column `&`; prederive the exact interaction/design columns	shoot_or_not,shoot,race,object,subject,target	subject,target	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
fixed_random_naive	true	bernoulli	synthetic	https://bambinos.github.io/bambi/notebooks/fixed_random.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	390	fixed_random	bambi	scripts/examples/bambi.jl	y ~ x + z	true	Fixed/Random Effects — Naive Model	y ~ x + z	inferred-from-description	17	false		fixed_random	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	y,x,z		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
fixed_random_naive	true	bernoulli	synthetic	https://bambinos.github.io/bambi/notebooks/fixed_random.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	390	fixed_random	bambi	scripts/examples/bambi.jl	y ~ x + z	true	Fixed/Random Effects — Naive Model	y ~ x + z	inferred-from-description	17	false		fixed_random	inferred-family	bernoulli	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	ready	already-expressible-verbatim		log_odds ~ x + z\ny ~ BernoulliLogit(log_odds)	explicit Bernoulli-logit likelihood	y,x,z		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
fixed_random_fe	true	bernoulli	synthetic	https://bambinos.github.io/bambi/notebooks/fixed_random.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	405	fixed_random	bambi	scripts/examples/bambi.jl	y ~ 0 + C(group) + x + z	true	Fixed/Random Effects — Fixed Effects Model	y ~ 0 + C(group) + x + z	inferred-from-description	18	false		fixed_random	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	y,group,x,z		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
fixed_random_fe	true	bernoulli	synthetic	https://bambinos.github.io/bambi/notebooks/fixed_random.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	405	fixed_random	bambi	scripts/examples/bambi.jl	y ~ 0 + C(group) + x + z	true	Fixed/Random Effects — Fixed Effects Model	y ~ 0 + C(group) + x + z	inferred-from-description	18	false		fixed_random	inferred-family	bernoulli	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	ready	already-expressible-via-semantic-rewrite		log_odds ~ 0 + group + x + z\ny ~ BernoulliLogit(log_odds)	explicit Bernoulli-logit likelihood	y,group,x,z		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
fixed_random_re	true	bernoulli	synthetic	https://bambinos.github.io/bambi/notebooks/fixed_random.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	420	fixed_random	bambi	scripts/examples/bambi.jl	y ~ x + z + (1|group)	true	Fixed/Random Effects — Random Effects Model	y ~ x + z + (1|group)	inferred-from-description	19	false		fixed_random	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	y,x,z,group	group	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
