warmuphmc	warmuphmc_draws	evidence_kind	brmi_parse	stanc	stan_transpile	semantic_route	stan_code_sha256	family_selected	variant	surface_support_class	probe_id	gradient_finite	evidence_from	descriptor	key	deployed	static_error_stage	static_error	translation_status	log_density	runtime_error	stan_data_sha256	sbbrmi_lower	dimension	historical_formula	warmuphmc_error	surface_secondary_gap	family_selected_provenance	source	bridgestan_instantiate	current_brm_body	row_index	data_shape_assumptions	brmi_eval
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	shooter_binary	true			unresolved-family				not-run		shoot_or_not[shoot] ~ S(race)*S(object) + (S(race)*S(object) | subject) + (S(object) | target)		family evidence remains indeterminate	unresolved	bambi	not-run		16	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm		bernoulli	inferred-family	already-expressible-via-semantic-rewrite		not-run		not-run	shooter_binary	true			semantic-rewrite				not-run		shoot_or_not[shoot] ~ S(race)*S(object) + (S(race)*S(object) | subject) + (S(object) | target)			inferred-from-description	bambi	not-run		16	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	fixed_random_naive	true			unresolved-family				not-run		y ~ x + z		family evidence remains indeterminate	unresolved	bambi	not-run		17	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	796f6253cff10172da33f605c950e641d3b4cf3fda07044106acb7d8383714ce	bernoulli	inferred-family	already-expressible-verbatim	94080b000d8beca3	true	34	pass	fixed_random_naive	true			ready	-8.317766166719343		08d1619285d63cadc966690f7f7b90728f1bb9fe775aa52eeee6b2d759d8b329	pass	2	y ~ x + z			inferred-from-description	bambi	pass	log_odds ~ x + z\ny ~ BernoulliLogit(log_odds)	17	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	fixed_random_fe	true			unresolved-family				not-run		y ~ 0 + C(group) + x + z		family evidence remains indeterminate	unresolved	bambi	not-run		18	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	45602a63779662937bdcbbe62edff9de140ae90b6bceae8ac0875b3d385e1231	bernoulli	inferred-family	already-expressible-via-semantic-rewrite	845d72471ba99ef7	true	36	pass	fixed_random_fe	true			ready	-8.317766166719343		c82590ed1dfcf6a3fd987ba0eb7bd4721e3ae2e68854faca0bc0b07b8556e7a8	pass	4	y ~ 0 + C(group) + x + z			inferred-from-description	bambi	pass	log_odds ~ 0 + group + x + z\ny ~ BernoulliLogit(log_odds)	18	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	fixed_random_re	true			unresolved-family				not-run		y ~ x + z + (1|group)		family evidence remains indeterminate	unresolved	bambi	not-run		19	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	993b9b4885dddfd45ef6af8b3abb9856e7ef64f0ac30ac04892661b0f10aa164	bernoulli	inferred-family	already-expressible-verbatim	126e85a74fc6645b	true	38	pass	fixed_random_re	true			ready	-8.317766166719343		50fde2b851ade1187a3b1105c2359cf22443fff37f1f294e21419438bff12d82	pass	6	y ~ x + z + (1|group)			inferred-from-description	bambi	pass	log_odds ~ x + z + (1|group)\ny ~ BernoulliLogit(log_odds)	19	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	fixed_random_mundlak	true			unresolved-family				not-run		y ~ x + z + xbar + (1|group)		family evidence remains indeterminate	unresolved	bambi	not-run		20	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	544297fc465c12ca5954d1d817d5ff6ec1d102ad5e4efd47c9b808dc70add3b5	bernoulli	inferred-family	already-expressible-verbatim	62d1aebc981f4219	true	40	pass	fixed_random_mundlak	true			ready	-8.317766166719343		a6e2fad6e2fc6afc50041652816562f5a45d099dfa213d25729430137c55903f	pass	7	y ~ x + z + xbar + (1|group)			inferred-from-description	bambi	pass	log_odds ~ x + z + xbar + (1|group)\ny ~ BernoulliLogit(log_odds)	20	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	t_regression_gaussian	true			unresolved-family				not-run		y ~ x		family evidence remains indeterminate	unresolved	bambi	not-run		21	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	bd16d2c179883196a07e5ee5e7a599683a0864a3a90ee56902e8c65676bffac3	gaussian	inferred-family	already-expressible-verbatim	a458f12f272bf78b	true	42	pass	t_regression_gaussian	true			ready	-7.817384082920588		28d5c8d51b2b49c4c2a58cd6c4a4a15574427da8e534c122c6b752d742c27e19	pass	2	y ~ x			inferred-from-description	bambi	pass	loc ~ x\nlog(sigma) ~ 1\ny ~ Normal(loc, sigma)	21	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	t_regression_t	true			unresolved-family				not-run		y ~ x		family evidence remains indeterminate	unresolved	bambi	not-run		22	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm		student_t	inferred-family	already-expressible-via-semantic-rewrite		not-run		not-run	t_regression_t	true			semantic-rewrite				not-run		y ~ x			inferred-from-description	bambi	not-run	loc ~ x\nlog(scale) ~ 1\ny ~ LocationScale(loc, scale, TDist(nu))	22	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	predict_new_groups	true			unresolved-family				not-run		fvc ~ 0 + weeks + smoking_status + (0 + weeks | patient)		family evidence remains indeterminate	unresolved	bambi	not-run		23	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	43adbcab8fa98d91c10269a62057bacc40395d12a6351505a598fc31f5bf0642	gaussian	inferred-family	already-expressible-verbatim	181998d886e20088	true	46	pass	predict_new_groups	true			ready	-4.306988320612813		034f9eb90448fbfb2330ca36eef3e17ed3d11647bb0124f956e8ec1c9536ce4e	pass	7	fvc ~ 0 + weeks + smoking_status + (0 + weeks | patient)			inferred-from-description	bambi	pass	loc ~ 0 + weeks + smoking_status + (0 + weeks | patient)\nlog(sigma) ~ 1\nfvc ~ Normal(loc, sigma)	23	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	poly_falling_explicit	true			unresolved-family				not-run		x ~ I(t**2) + 1		family evidence remains indeterminate	unresolved	bambi	not-run		24	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	d6c58037ed8215e078cf57efc0224f875615f05c4ee1d75e4363e38fb95c143e	gaussian	inferred-family	already-expressible-via-semantic-rewrite	a3d635d38339cc8f	true	48	pass	poly_falling_explicit	true			ready	-7.817384082920588		c4aeffee53247ca51e5ae774f655111dccfa2a937708d9cd9eb1022a44b21e44	pass	3	x ~ I(t**2) + 1			inferred-from-description	bambi	pass	loc ~ protect(t^2) + 1\nlog(sigma) ~ 1\nx ~ Normal(loc, sigma)	24	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	poly_falling_alt	true			unresolved-family				not-run		x ~ {t**2} + 1		family evidence remains indeterminate	unresolved	bambi	not-run		25	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		inherited-identical-probe	pass	pass	pass	ordinary_brm	d6c58037ed8215e078cf57efc0224f875615f05c4ee1d75e4363e38fb95c143e	gaussian	inferred-family	already-expressible-via-semantic-rewrite	a3d635d38339cc8f	true	48	pass	poly_falling_alt	true			ready	-7.817384082920588		c4aeffee53247ca51e5ae774f655111dccfa2a937708d9cd9eb1022a44b21e44	pass	3	x ~ {t**2} + 1			inferred-from-description	bambi	pass	loc ~ protect(t^2) + 1\nlog(sigma) ~ 1\nx ~ Normal(loc, sigma)	25	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	poly_falling_precomp	true			unresolved-family				not-run		x ~ tsquared + 1		family evidence remains indeterminate	unresolved	bambi	not-run		26	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	15ef5cb4e72e690c62f461e05aa457b46b3d223330cb5f113e22cd4235d60463	gaussian	inferred-family	already-expressible-verbatim	c5af9e9b5a1eae86	true	52	pass	poly_falling_precomp	true			ready	-7.817384082920588		e68a29c95706e70af1af6f359ff57cf4d2239683652d105116350a19f62ce114	pass	3	x ~ tsquared + 1			inferred-from-description	bambi	pass	loc ~ tsquared + 1\nlog(sigma) ~ 1\nx ~ Normal(loc, sigma)	26	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	poly_projectile_power	true			unresolved-family				not-run		x ~ I(t**2) + t + 1		family evidence remains indeterminate	unresolved	bambi	not-run		27	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	313feed9b3aa1d48870cb309ddc4a0b0ae608ca1241b502f435b14680466aa47	gaussian	inferred-family	already-expressible-via-semantic-rewrite	b4e43a7ca2279f5f	true	54	pass	poly_projectile_power	true			ready	-7.817384082920588		d7ebcbfe7fe132241e8ae7128139c4177782b870f423a31aed8026f264b11c59	pass	4	x ~ I(t**2) + t + 1			inferred-from-description	bambi	pass	loc ~ protect(t^2) + t + 1\nlog(sigma) ~ 1\nx ~ Normal(loc, sigma)	27	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	poly_projectile_poly	true			unresolved-family				not-run		x ~ poly(t, 2, raw=True)		family evidence remains indeterminate	unresolved	bambi	not-run		28	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm		gaussian	inferred-family	already-expressible-via-semantic-rewrite		not-run		not-run	poly_projectile_poly	true			semantic-rewrite				not-run		x ~ poly(t, 2, raw=True)			inferred-from-description	bambi	not-run		28	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	poly_planets	true			unresolved-family				not-run		Height ~ I(Time**2):Planet + Time + 0		family evidence remains indeterminate	unresolved	bambi	not-run		29	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm		gaussian	inferred-family	already-expressible-via-semantic-rewrite		not-run		not-run	poly_planets	true			semantic-rewrite				not-run		Height ~ I(Time**2):Planet + Time + 0			inferred-from-description	bambi	not-run		29	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	logistic_anes	true			unresolved-family				not-run		vote['clinton'] ~ party_id + party_id:age		family evidence remains indeterminate	unresolved	bambi	not-run		30	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm		bernoulli	inferred-family	already-expressible-via-semantic-rewrite		not-run		not-run	logistic_anes	true			semantic-rewrite				not-run		vote['clinton'] ~ party_id + party_id:age			inferred-from-description	bambi	not-run		30	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	model_comparison_linear	true			unresolved-family				not-run		income['>50K'] ~ sex + race + scale(age) + scale(hs_week)		family evidence remains indeterminate	unresolved	bambi	not-run		31	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm		bernoulli	inferred-family	already-expressible-via-semantic-rewrite		not-run		not-run	model_comparison_linear	true			semantic-rewrite				not-run		income['>50K'] ~ sex + race + scale(age) + scale(hs_week)			inferred-from-description	bambi	not-run		31	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	model_comparison_quad	true			unresolved-family				not-run		income['>50K'] ~ sex + race + scale(age) + I(scale(age)**2) + scale(hs_week) + I(scale(hs_week)**2)		family evidence remains indeterminate	unresolved	bambi	not-run		32	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm		bernoulli	inferred-family	already-expressible-via-semantic-rewrite		not-run		not-run	model_comparison_quad	true			semantic-rewrite				not-run		income['>50K'] ~ sex + race + scale(age) + I(scale(age)**2) + scale(hs_week) + I(scale(hs_week)**2)			inferred-from-description	bambi	not-run		32	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	model_comparison_cubic	true			unresolved-family				not-run		income['>50K'] ~ sex + race + scale(age) + I(scale(age)**2) + I(scale(age)**3) + scale(hs_week) + I(scale(hs_week)**2) + I(scale(hs_week)**3)		family evidence remains indeterminate	unresolved	bambi	not-run		33	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
