row_index	deployed	historical_sha	source	key	source_path	source_line	name_claim	example_claim	dataset_claim	dataset_source_claim	formula_claim	formula_return	formula_match	family_claim	family_text_claim	family_claim_provenance	row_source_claim	verified_claim	hidden_claim
18	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	fixed_random_fe	scripts/examples/bambi.jl	405	Fixed/Random Effects — Fixed Effects Model	fixed_random	fixed_random	synthetic	y ~ 0 + C(group) + x + z	y ~ 0 + C(group) + x + z	true		bernoulli	inferred-from-description	https://bambinos.github.io/bambi/notebooks/fixed_random.html	false	false
19	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	fixed_random_re	scripts/examples/bambi.jl	420	Fixed/Random Effects — Random Effects Model	fixed_random	fixed_random	synthetic	y ~ x + z + (1|group)	y ~ x + z + (1|group)	true		bernoulli	inferred-from-description	https://bambinos.github.io/bambi/notebooks/fixed_random.html	false	false
20	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	fixed_random_mundlak	scripts/examples/bambi.jl	435	Fixed/Random Effects — Mundlak Machine	fixed_random	fixed_random	synthetic	y ~ x + z + xbar + (1|group)	y ~ x + z + xbar + (1|group)	true		bernoulli	inferred-from-description	https://bambinos.github.io/bambi/notebooks/fixed_random.html	false	false
21	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	t_regression_gaussian	scripts/examples/bambi.jl	467	Robust Regression — Gaussian Family	t_regression	t_regression	synthetic	y ~ x	y ~ x	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/t_regression.html	false	false
22	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	t_regression_t	scripts/examples/bambi.jl	482	Robust Regression — Student's t Family	t_regression	t_regression	synthetic	y ~ x	y ~ x	true		t	inferred-from-description	https://bambinos.github.io/bambi/notebooks/t_regression.html	false	false
23	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	predict_new_groups	scripts/examples/bambi.jl	519	Predict New Groups	predict_new_groups	predict_new_groups	https://gist.githubusercontent.com/ucals/2cf9d101992cb1b78c2cdd6e3bac6a4b/raw/43034c39052dcf97d4b894d2ec1bc3f90f3623d9/osic_pulmonary_fibrosis.csv	fvc ~ 0 + weeks + smoking_status + (0 + weeks | patient)	fvc ~ 0 + weeks + smoking_status + (0 + weeks | patient)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/predict_new_groups.html	false	false
24	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	poly_falling_explicit	scripts/examples/bambi.jl	590	Polynomial Regression — Falling Ball (Explicit)	polynomial_regression	poly_falling	synthetic	x ~ I(t**2) + 1	x ~ I(t**2) + 1	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	false	false
25	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	poly_falling_alt	scripts/examples/bambi.jl	606	Polynomial Regression — Falling Ball (Curly-Brace Syntax)	polynomial_regression	poly_falling	synthetic	x ~ {t**2} + 1	x ~ {t**2} + 1	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	false	false
26	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	poly_falling_precomp	scripts/examples/bambi.jl	622	Polynomial Regression — Falling Ball (Pre-Computed Column)	polynomial_regression	poly_falling	synthetic	x ~ tsquared + 1	x ~ tsquared + 1	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	false	false
27	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	poly_projectile_power	scripts/examples/bambi.jl	638	Polynomial Regression — Projectile (Power Basis)	polynomial_regression	poly_projectile	synthetic	x ~ I(t**2) + t + 1	x ~ I(t**2) + t + 1	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	false	false
28	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	poly_projectile_poly	scripts/examples/bambi.jl	654	Polynomial Regression — Projectile (poly() Syntax)	polynomial_regression	poly_projectile	synthetic	x ~ poly(t, 2, raw=True)	x ~ poly(t, 2, raw=True)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	false	false
29	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	poly_planets	scripts/examples/bambi.jl	670	Polynomial Regression — Multi-Planet	polynomial_regression	poly_planets	synthetic	Height ~ I(Time**2):Planet + Time + 0	Height ~ I(Time**2):Planet + Time + 0	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/polynomial_regression.html	false	false
30	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	logistic_anes	scripts/examples/bambi.jl	701	Logistic Regression — Vote Intention	logistic_anes	logistic_anes	https://ndownloader.figshare.com/files/28870740	vote['clinton'] ~ party_id + party_id:age	vote['clinton'] ~ party_id + party_id:age	true		bernoulli	inferred-from-description	https://bambinos.github.io/bambi/notebooks/logistic_regression.html	false	false
31	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	model_comparison_linear	scripts/examples/bambi.jl	734	Model Comparison — Linear	model_comparison	model_comparison	https://ndownloader.figshare.com/files/28870743	income['>50K'] ~ sex + race + scale(age) + scale(hs_week)	income['>50K'] ~ sex + race + scale(age) + scale(hs_week)	true		bernoulli	inferred-from-description	https://bambinos.github.io/bambi/notebooks/model_comparison.html	false	false
32	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	model_comparison_quad	scripts/examples/bambi.jl	750	Model Comparison — Quadratic	model_comparison	model_comparison	https://ndownloader.figshare.com/files/28870743	income['>50K'] ~ sex + race + scale(age) + I(scale(age)**2) + scale(hs_week) + I(scale(hs_week)**2)	income['>50K'] ~ sex + race + scale(age) + I(scale(age)**2) + scale(hs_week) + I(scale(hs_week)**2)	true		bernoulli	inferred-from-description	https://bambinos.github.io/bambi/notebooks/model_comparison.html	false	false
33	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	model_comparison_cubic	scripts/examples/bambi.jl	765	Model Comparison — Cubic	model_comparison	model_comparison	https://ndownloader.figshare.com/files/28870743	income['>50K'] ~ sex + race + scale(age) + I(scale(age)**2) + I(scale(age)**3) + scale(hs_week) + I(scale(hs_week)**2) + I(scale(hs_week)**3)	income['>50K'] ~ sex + race + scale(age) + I(scale(age)**2) + I(scale(age)**3) + scale(hs_week) + I(scale(hs_week)**2) + I(scale(hs_week)**3)	true		bernoulli	inferred-from-description	https://bambinos.github.io/bambi/notebooks/model_comparison.html	false	false
34	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	hierarchical_binomial_nopooling	scripts/examples/bambi.jl	799	Hierarchical Binomial — No Pooling	hierarchical_binomial	hierarchical_binomial	https://ndownloader.figshare.com/files/29749140	p(H, AB) ~ 0 + playerID	p(H, AB) ~ 0 + playerID	true		binomial	inferred-from-description	https://bambinos.github.io/bambi/notebooks/hierarchical_binomial_bambi.html	false	false
35	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	hierarchical_binomial_partial	scripts/examples/bambi.jl	814	Hierarchical Binomial — Partial Pooling	hierarchical_binomial	hierarchical_binomial	https://ndownloader.figshare.com/files/29749140	p(H, AB) ~ 1 + (1|playerID)	p(H, AB) ~ 1 + (1|playerID)	true		binomial	inferred-from-description	https://bambinos.github.io/bambi/notebooks/hierarchical_binomial_bambi.html	false	false
36	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	alternative_links_logit	scripts/examples/bambi.jl	845	Alternative Links — Logit	alternative_links	alternative_links	synthetic	p(y, n) ~ x	p(y, n) ~ x	true		binomial	inferred-from-description	https://bambinos.github.io/bambi/notebooks/alternative_links_binary.html	false	false
37	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	alternative_links_probit	scripts/examples/bambi.jl	860	Alternative Links — Probit	alternative_links	alternative_links	synthetic	p(y, n) ~ x	p(y, n) ~ x	true		binomial	inferred-from-description	https://bambinos.github.io/bambi/notebooks/alternative_links_binary.html	false	false
38	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	alternative_links_cloglog	scripts/examples/bambi.jl	875	Alternative Links — Complementary Log-Log	alternative_links	alternative_links	synthetic	p(y, n) ~ x	p(y, n) ~ x	true		binomial	inferred-from-description	https://bambinos.github.io/bambi/notebooks/alternative_links_binary.html	false	false
39	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	wald_gamma_wald	scripts/examples/bambi.jl	905	Wald Regression — Insurance Claims (Wald Family)	wald_gamma	wald_gamma	https://ndownloader.figshare.com/files/28870713	claimcst0 ~ C(agecat) + gender + area	claimcst0 ~ C(agecat) + gender + area	true		wald	inferred-from-description	https://bambinos.github.io/bambi/notebooks/wald_gamma_glm.html	false	false
40	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	wald_gamma_gamma	scripts/examples/bambi.jl	921	Gamma Regression — Insurance Claims (Gamma Family)	wald_gamma	wald_gamma	https://ndownloader.figshare.com/files/28870713	claimcst0 ~ agecat + gender + area	claimcst0 ~ agecat + gender + area	true		gamma	inferred-from-description	https://bambinos.github.io/bambi/notebooks/wald_gamma_glm.html	false	false
41	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	negative_binomial_main	scripts/examples/bambi.jl	956	Negative Binomial — Main Effects	negative_binomial	negative_binomial	https://stats.idre.ucla.edu/stat/stata/dae/nb_data.dta	daysabs ~ 0 + prog + scale(math)	daysabs ~ 0 + prog + scale(math)	true		negativebinomial	inferred-from-description	https://bambinos.github.io/bambi/notebooks/negative_binomial.html	false	false
42	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	negative_binomial_interaction	scripts/examples/bambi.jl	972	Negative Binomial — Interaction	negative_binomial	negative_binomial	https://stats.idre.ucla.edu/stat/stata/dae/nb_data.dta	daysabs ~ 0 + prog + scale(math) + prog:scale(math)	daysabs ~ 0 + prog + scale(math) + prog:scale(math)	true		negativebinomial	inferred-from-description	https://bambinos.github.io/bambi/notebooks/negative_binomial.html	false	false
43	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	count_roaches_poisson	scripts/examples/bambi.jl	1004	Count Regression with Offset — Poisson	count_roaches	count_roaches	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/roaches.csv	y ~ roach1 + treatment + senior + offset(log(exposure2))	y ~ roach1 + treatment + senior + offset(log(exposure2))	true		poisson	inferred-from-description	https://bambinos.github.io/bambi/notebooks/count_roaches.html	false	false
44	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	count_roaches_nb	scripts/examples/bambi.jl	1020	Count Regression with Offset — Negative Binomial	count_roaches	count_roaches	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/roaches.csv	y ~ roach1 + treatment + senior + offset(log(exposure2))	y ~ roach1 + treatment + senior + offset(log(exposure2))	true		negativebinomial	inferred-from-description	https://bambinos.github.io/bambi/notebooks/count_roaches.html	false	false
45	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	beta_probs_intercept	scripts/examples/bambi.jl	1098	Beta Regression — Intercept Only (Probabilities)	beta_regression	beta_probs	synthetic	probabilities ~ 1	probabilities ~ 1	true		beta	inferred-from-description	https://bambinos.github.io/bambi/notebooks/beta_regression.html	false	false
46	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	beta_coin	scripts/examples/bambi.jl	1113	Beta Regression — Coin Dirt	beta_regression	beta_coin	synthetic	p ~ delta_d	p ~ delta_d	true		beta	inferred-from-description	https://bambinos.github.io/bambi/notebooks/beta_regression.html	false	false
47	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	beta_batting_intercept	scripts/examples/bambi.jl	1128	Beta Regression — Batting Average Intercept Only	beta_regression	beta_batting	https://ndownloader.figshare.com/files/29749140	batting_avg ~ 1	batting_avg ~ 1	true		beta	inferred-from-description	https://bambinos.github.io/bambi/notebooks/beta_regression.html	false	false
48	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	beta_batting_shift	scripts/examples/bambi.jl	1143	Beta Regression — Batting Average with Shift Predictor	beta_regression	beta_batting	https://ndownloader.figshare.com/files/29749140	batting_avg ~ batting_avg_shift	batting_avg ~ batting_avg_shift	true		beta	inferred-from-description	https://bambinos.github.io/bambi/notebooks/beta_regression.html	false	false
49	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	categorical_toy	scripts/examples/bambi.jl	1222	Categorical Regression — Toy Dataset	categorical_regression	categorical_toy	synthetic	y ~ x	y ~ x	true		categorical	inferred-from-description	https://bambinos.github.io/bambi/notebooks/categorical_regression.html	false	false
50	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	categorical_iris	scripts/examples/bambi.jl	1237	Categorical Regression — Iris Species	categorical_regression	categorical_regression	https://vincentarelbundock.github.io/Rdatasets/csv/datasets/iris.csv	species ~ sepal_length + sepal_width + petal_length + petal_width	species ~ sepal_length + sepal_width + petal_length + petal_width	true		categorical	inferred-from-description	https://bambinos.github.io/bambi/notebooks/categorical_regression.html	false	false
51	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	categorical_alligator	scripts/examples/bambi.jl	1256	Categorical Regression — Alligator Food Choice	categorical_regression	categorical_alligator	synthetic	choice ~ length + sex	choice ~ length + sex	true		categorical	inferred-from-description	https://bambinos.github.io/bambi/notebooks/categorical_regression.html	false	false
52	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	circular_vonmises	scripts/examples/bambi.jl	1288	Circular Regression — Von Mises Family	circular_regression	circular_regression	https://ndownloader.figshare.com/files/34446077	direction ~ distance	direction ~ distance	true		vonmises	inferred-from-description	https://bambinos.github.io/bambi/notebooks/circular_regression.html	false	false
53	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	circular_gaussian	scripts/examples/bambi.jl	1304	Circular Regression — Gaussian Comparison	circular_regression	circular_regression	https://ndownloader.figshare.com/files/34446077	direction ~ distance	direction ~ distance	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/circular_regression.html	false	false
54	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	quantile_p10	scripts/examples/bambi.jl	1332	Quantile Regression — p10 (Asymmetric Laplace)	quantile_regression	quantile_regression	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/bmi.csv	bmi ~ bs(age, knots=knots)	bmi ~ bs(age, knots=knots)	true		asymmetriclaplace	inferred-from-description	https://bambinos.github.io/bambi/notebooks/quantile_regression.html	false	false
55	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	quantile_p50	scripts/examples/bambi.jl	1347	Quantile Regression — p50 (Asymmetric Laplace)	quantile_regression	quantile_regression	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/bmi.csv	bmi ~ bs(age, knots=knots)	bmi ~ bs(age, knots=knots)	true		asymmetriclaplace	inferred-from-description	https://bambinos.github.io/bambi/notebooks/quantile_regression.html	false	false
56	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	quantile_p90	scripts/examples/bambi.jl	1363	Quantile Regression — p90 (Asymmetric Laplace)	quantile_regression	quantile_regression	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/bmi.csv	bmi ~ bs(age, knots=knots)	bmi ~ bs(age, knots=knots)	true		asymmetriclaplace	inferred-from-description	https://bambinos.github.io/bambi/notebooks/quantile_regression.html	false	false
57	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	quantile_gaussian	scripts/examples/bambi.jl	1378	Quantile Regression — Gaussian Comparison	quantile_regression	quantile_regression	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/bmi.csv	bmi ~ bs(age, knots=knots)	bmi ~ bs(age, knots=knots)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/quantile_regression.html	false	false
58	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	mister_p	scripts/examples/bambi.jl	1412	MrP — Multilevel Regression and Post-Stratification	mister_p	mister_p	https://dataverse.harvard.edu/	p(abortion, n) ~ male + repvote + (1|state) + (1|eth) + (1|edu) + (1|male:eth) + (1|edu:age) + (1|edu:eth)	p(abortion, n) ~ male + repvote + (1|state) + (1|eth) + (1|edu) + (1|male:eth) + (1|edu:age) + (1|edu:eth)	true		binomial	inferred-from-description	https://bambinos.github.io/bambi/notebooks/mister_p.html	false	false
59	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	zip_mu	scripts/examples/bambi.jl	1443	Zero Inflated Poisson — Mu Component	zero_inflated	zero_inflated	https://stats.idre.ucla.edu/stat/data/fish.csv	count ~ livebait + camper + persons + child	count ~ livebait + camper + persons + child	true		zero_inflated_poisson	inferred-from-description	https://bambinos.github.io/bambi/notebooks/zero_inflated_regression.html	false	false
60	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	zip_psi	scripts/examples/bambi.jl	1458	Zero Inflated Poisson — Psi Component	zero_inflated	zero_inflated	https://stats.idre.ucla.edu/stat/data/fish.csv	psi ~ livebait + camper + persons + child	psi ~ livebait + camper + persons + child	true		zero_inflated_poisson	inferred-from-description	https://bambinos.github.io/bambi/notebooks/zero_inflated_regression.html	false	false
61	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	hurdle_mu	scripts/examples/bambi.jl	1473	Hurdle Poisson — Mu Component	zero_inflated	zero_inflated	https://stats.idre.ucla.edu/stat/data/fish.csv	count ~ livebait + camper + persons + child	count ~ livebait + camper + persons + child	true		hurdle_poisson	inferred-from-description	https://bambinos.github.io/bambi/notebooks/zero_inflated_regression.html	false	false
62	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	hurdle_psi	scripts/examples/bambi.jl	1488	Hurdle Poisson — Psi Component	zero_inflated	zero_inflated	https://stats.idre.ucla.edu/stat/data/fish.csv	psi ~ livebait + camper + persons + child	psi ~ livebait + camper + persons + child	true		hurdle_poisson	inferred-from-description	https://bambinos.github.io/bambi/notebooks/zero_inflated_regression.html	false	false
63	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	ordinal_trolley_intercept	scripts/examples/bambi.jl	1536	Ordinal Regression — Trolley Intercept Only	ordinal_regression	ordinal_regression	https://raw.githubusercontent.com/rmcelreath/rethinking/master/data/Trolley.csv	response ~ 0	response ~ 0	true		cumulative	inferred-from-description	https://bambinos.github.io/bambi/notebooks/ordinal_regression.html	false	false
64	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	ordinal_trolley_effects	scripts/examples/bambi.jl	1552	Ordinal Regression — Trolley Action/Intention/Contact	ordinal_regression	ordinal_regression	https://raw.githubusercontent.com/rmcelreath/rethinking/master/data/Trolley.csv	response ~ 0 + action + intention + contact + action:intention + contact:intention	response ~ 0 + action + intention + contact + action:intention + contact:intention	true		cumulative	inferred-from-description	https://bambinos.github.io/bambi/notebooks/ordinal_regression.html	false	false
65	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	ordinal_hr_years	scripts/examples/bambi.jl	1568	Ordinal Regression — HR Years at Company	ordinal_regression	hr_attrition	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/hr_employee_attrition.tsv.txt	YearsAtCompany ~ 0 + TotalWorkingYears	YearsAtCompany ~ 0 + TotalWorkingYears	true		sratio	inferred-from-description	https://bambinos.github.io/bambi/notebooks/ordinal_regression.html	false	false
66	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	distributional_const_alpha	scripts/examples/bambi.jl	1614	Distributional Models — Constant Alpha	distributional_models	distributional_synth	synthetic	y ~ x	y ~ x	true		gamma	inferred-from-description	https://bambinos.github.io/bambi/notebooks/distributional_models.html	false	false
67	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	distributional_var_alpha	scripts/examples/bambi.jl	1629	Distributional Models — Varying Alpha	distributional_models	distributional_synth	synthetic	y ~ x  +  alpha ~ x	y ~ x  +  alpha ~ x	true		gamma	inferred-from-description	https://bambinos.github.io/bambi/notebooks/distributional_models.html	false	false
